PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 9.1000e-02    1.0491e+02   -7.3911e-01    1.5969e+00
 9.2000e-02    1.0514e+02   -7.3575e-01    1.5952e+00
 9.3000e-02    1.0536e+02   -7.3245e-01    1.5936e+00
 9.4000e-02    1.0557e+02   -7.2920e-01    1.5920e+00
 9.5000e-02    1.0579e+02   -7.2599e-01    1.5904e+00
 9.6000e-02    1.0600e+02   -7.2283e-01    1.5888e+00
 9.7000e-02    1.0621e+02   -7.1970e-01    1.5871e+00
 9.8000e-02    1.0642e+02   -7.1660e-01    1.5855e+00
 9.9000e-02    1.0663e+02   -7.1354e-01    1.5840e+00
 1.0000e-01    1.0684e+02   -7.1050e-01    1.5824e+00
 1.0100e-01    1.0704e+02   -7.0746e-01    1.5808e+00
 1.0200e-01    1.0724e+02   -7.0443e-01    1.5792e+00
 1.0300e-01    1.0745e+02   -7.0138e-01    1.5776e+00
 1.0400e-01    1.0765e+02   -6.9833e-01    1.5760e+00
 1.0500e-01    1.0785e+02   -6.9529e-01    1.5744e+00
 1.0600e-01    1.0805e+02   -6.9224e-01    1.5728e+00
 1.0700e-01    1.0825e+02   -6.8921e-01    1.5713e+00
 1.0800e-01    1.0845e+02   -6.8616e-01    1.5697e+00
 1.0900e-01    1.0865e+02   -6.8311e-01    1.5681e+00
 1.1000e-01    1.0885e+02   -6.8006e-01    1.5665e+00
 1.1100e-01    1.0904e+02   -6.7703e-01    1.5649e+00
 1.1200e-01    1.0924e+02   -6.7399e-01    1.5633e+00
 1.1300e-01    1.0943e+02   -6.7099e-01    1.5617e+00
 1.1400e-01    1.0962e+02   -6.6801e-01    1.5602e+00
 1.1500e-01    1.0982e+02   -6.6508e-01    1.5586e+00
 1.1600e-01    1.1000e+02   -6.6220e-01    1.5570e+00
 1.1700e-01    1.1019e+02   -6.5935e-01    1.5555e+00
 1.1800e-01    1.1038e+02   -6.5657e-01    1.5539e+00
 1.1900e-01    1.1056e+02   -6.5385e-01    1.5524e+00
 1.2000e-01    1.1074e+02   -6.5118e-01    1.5509e+00
 1.2100e-01    1.1092e+02   -6.4857e-01    1.5494e+00
 1.2200e-01    1.1109e+02   -6.4599e-01    1.5479e+00
 1.2300e-01    1.1127e+02   -6.4341e-01    1.5464e+00
 1.2400e-01    1.1144e+02   -6.4089e-01    1.5450e+00
 1.2500e-01    1.1161e+02   -6.3840e-01    1.5435e+00
 1.2600e-01    1.1177e+02   -6.3597e-01    1.5421e+00
 1.2700e-01    1.1194e+02   -6.3359e-01    1.5407e+00
 1.2800e-01    1.1210e+02   -6.3128e-01    1.5393e+00
 1.2900e-01    1.1226e+02   -6.2903e-01    1.5379e+00
 1.3000e-01    1.1241e+02   -6.2691e-01    1.5365e+00
 1.3100e-01    1.1256e+02   -6.2485e-01    1.5352e+00
 1.3200e-01    1.1271e+02   -6.2287e-01    1.5339e+00
 1.3300e-01    1.1285e+02   -6.2097e-01    1.5325e+00
 1.3400e-01    1.1300e+02   -6.1916e-01    1.5313e+00
 1.3500e-01    1.1314e+02   -6.1744e-01    1.5300e+00
 1.3600e-01    1.1327e+02   -6.1581e-01    1.5287e+00
 1.3700e-01    1.1341e+02   -6.1427e-01    1.5275e+00
 1.3800e-01    1.1354e+02   -6.1281e-01    1.5263e+00
 1.3900e-01    1.1366e+02   -6.1143e-01    1.5252e+00
 1.4000e-01    1.1379e+02   -6.1012e-01    1.5240e+00
 1.4100e-01    1.1392e+02   -6.0884e-01    1.5229e+00
 1.4200e-01    1.1404e+02   -6.0760e-01    1.5218e+00
 1.4300e-01    1.1416e+02   -6.0636e-01    1.5206e+00
 1.4400e-01    1.1429e+02   -6.0510e-01    1.5195e+00
 1.4500e-01    1.1441e+02   -6.0380e-01    1.5184e+00
 1.4600e-01    1.1454e+02   -6.0243e-01    1.5172e+00
 1.4700e-01    1.1467e+02   -6.0099e-01    1.5161e+00
 1.4800e-01    1.1480e+02   -5.9948e-01    1.5149e+00
 1.4900e-01    1.1493e+02   -5.9787e-01    1.5137e+00
 1.5000e-01    1.1507e+02   -5.9619e-01    1.5124e+00
 1.5100e-01    1.1520e+02   -5.9442e-01    1.5111e+00
 1.5200e-01    1.1534e+02   -5.9253e-01    1.5098e+00
 1.5300e-01    1.1549e+02   -5.9053e-01    1.5085e+00
 1.5400e-01    1.1563e+02   -5.8842e-01    1.5072e+00
 1.5500e-01    1.1578e+02   -5.8621e-01    1.5058e+00
 1.5600e-01    1.1593e+02   -5.8389e-01    1.5044e+00
 1.5700e-01    1.1608e+02   -5.8147e-01    1.5030e+00
 1.5800e-01    1.1623e+02   -5.7897e-01    1.5015e+00
 1.5900e-01    1.1639e+02   -5.7642e-01    1.5001e+00
 1.6000e-01    1.1654e+02   -5.7385e-01    1.4986e+00
 1.6100e-01    1.1669e+02   -5.7128e-01    1.4971e+00
 1.6200e-01    1.1684e+02   -5.6873e-01    1.4957e+00
 1.6300e-01    1.1699e+02   -5.6624e-01    1.4942e+00
 1.6400e-01    1.1714e+02   -5.6386e-01    1.4928e+00
 1.6500e-01    1.1728e+02   -5.6161e-01    1.4914e+00
 1.6600e-01    1.1742e+02   -5.5953e-01    1.4900e+00
 1.6700e-01    1.1755e+02   -5.5764e-01    1.4887e+00
 1.6800e-01    1.1768e+02   -5.5598e-01    1.4875e+00
 1.6900e-01    1.1780e+02   -5.5456e-01    1.4863e+00
 1.7000e-01    1.1791e+02   -5.5337e-01    1.4852e+00
 1.7100e-01    1.1802e+02   -5.5241e-01    1.4841e+00
 1.7200e-01    1.1812e+02   -5.5166e-01    1.4831e+00
 1.7300e-01    1.1822e+02   -5.5107e-01    1.4822e+00
 1.7400e-01    1.1831e+02   -5.5064e-01    1.4812e+00
 1.7500e-01    1.1840e+02   -5.5032e-01    1.4804e+00
 1.7600e-01    1.1849e+02   -5.5006e-01    1.4795e+00
 1.7700e-01    1.1858e+02   -5.4981e-01    1.4786e+00
 1.7800e-01    1.1867e+02   -5.4957e-01    1.4778e+00
 1.7900e-01    1.1875e+02   -5.4929e-01    1.4769e+00
 1.8000e-01    1.1884e+02   -5.4886e-01    1.4760e+00
 1.8100e-01    1.1893e+02   -5.4835e-01    1.4750e+00
 1.8200e-01    1.1903e+02   -5.4767e-01    1.4741e+00
 1.8300e-01    1.1913e+02   -5.4682e-01    1.4731e+00
 1.8400e-01    1.1923e+02   -5.4578e-01    1.4720e+00
