PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
 1.0000e-03    0.0000e+00   -1.4013e+00    1.9058e+00
 2.0000e-03    1.9273e+00   -1.3854e+00    1.9043e+00
 3.0000e-03    3.7768e+00   -1.3610e+00    1.9018e+00
 4.0000e-03    5.5521e+00   -1.3373e+00    1.8994e+00
 5.0000e-03    7.2566e+00   -1.3143e+00    1.8970e+00
 6.0000e-03    8.8935e+00   -1.2920e+00    1.8947e+00
 7.0000e-03    1.0466e+01   -1.2704e+00    1.8924e+00
 8.0000e-03    1.1977e+01   -1.2494e+00    1.8902e+00
 9.0000e-03    1.3429e+01   -1.2290e+00    1.8880e+00
 1.0000e-02    1.4826e+01   -1.2093e+00    1.8859e+00
 1.1000e-02    1.6170e+01   -1.1901e+00    1.8838e+00
 1.2000e-02    1.7464e+01   -1.1716e+00    1.8817e+00
 1.3000e-02    1.8711e+01   -1.1536e+00    1.8798e+00
 1.4000e-02    1.9913e+01   -1.1361e+00    1.8778e+00
 1.5000e-02    2.1072e+01   -1.1192e+00    1.8759e+00
 1.6000e-02    2.2192e+01   -1.1027e+00    1.8740e+00
 1.7000e-02    2.3273e+01   -1.0867e+00    1.8721e+00
 1.8000e-02    2.4320e+01   -1.0711e+00    1.8704e+00
 1.9000e-02    2.5332e+01   -1.0560e+00    1.8686e+00
 2.0000e-02    2.6313e+01   -1.0413e+00    1.8668e+00
 2.1000e-02    2.7263e+01   -1.0270e+00    1.8651e+00
 2.2000e-02    2.8185e+01   -1.0131e+00    1.8635e+00
 2.3000e-02    2.9079e+01   -9.9954e-01    1.8618e+00
 2.4000e-02    2.9947e+01   -9.8634e-01    1.8602e+00
 2.5000e-02    3.0790e+01   -9.7349e-01    1.8586e+00
 2.6000e-02    3.1611e+01   -9.6097e-01    1.8570e+00
 2.7000e-02    3.2409e+01   -9.4876e-01    1.8554e+00
 2.8000e-02    3.3186e+01   -9.3686e-01    1.8538e+00
 2.9000e-02    3.3943e+01   -9.2523e-01    1.8523e+00
 3.0000e-02    3.4681e+01   -9.1390e-01    1.8508e+00
 3.1000e-02    3.5401e+01   -9.0282e-01    1.8493e+00
 3.2000e-02    3.6104e+01   -8.9201e-01    1.8479e+00
 3.3000e-02    3.6791e+01   -8.8145e-01    1.8464e+00
 3.4000e-02    3.7461e+01   -8.7112e-01    1.8450e+00
 3.5000e-02    3.8117e+01   -8.6103e-01    1.8436e+00
 3.6000e-02    3.8759e+01   -8.5116e-01    1.8422e+00
 3.7000e-02    3.9386e+01   -8.4151e-01    1.8408e+00
 3.8000e-02    4.0001e+01   -8.3207e-01    1.8394e+00
 3.9000e-02    4.0603e+01   -8.2283e-01    1.8381e+00
 4.0000e-02    4.1193e+01   -8.1379e-01    1.8367e+00
 4.1000e-02    4.1771e+01   -8.0494e-01    1.8354e+00
 4.2000e-02    4.2339e+01   -7.9625e-01    1.8341e+00
 4.3000e-02    4.2895e+01   -7.8774e-01    1.8327e+00
 4.4000e-02    4.3442e+01   -7.7941e-01    1.8314e+00
