PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 9.1000e-02    1.3104e+02   -8.4935e-01    1.3953e+00
 9.2000e-02    1.3117e+02   -8.4689e-01    1.3937e+00
 9.3000e-02    1.3131e+02   -8.4449e-01    1.3921e+00
 9.4000e-02    1.3144e+02   -8.4216e-01    1.3905e+00
 9.5000e-02    1.3157e+02   -8.3988e-01    1.3889e+00
 9.6000e-02    1.3169e+02   -8.3764e-01    1.3872e+00
 9.7000e-02    1.3181e+02   -8.3546e-01    1.3857e+00
 9.8000e-02    1.3194e+02   -8.3333e-01    1.3842e+00
 9.9000e-02    1.3205e+02   -8.3127e-01    1.3826e+00
 1.0000e-01    1.3217e+02   -8.2926e-01    1.3811e+00
 1.0100e-01    1.3228e+02   -8.2732e-01    1.3798e+00
 1.0200e-01    1.3239e+02   -8.2548e-01    1.3783e+00
 1.0300e-01    1.3249e+02   -8.2374e-01    1.3770e+00
 1.0400e-01    1.3259e+02   -8.2209e-01    1.3757e+00
 1.0500e-01    1.3269e+02   -8.2051e-01    1.3742e+00
 1.0600e-01    1.3279e+02   -8.1900e-01    1.3733e+00
 1.0700e-01    1.3288e+02   -8.1756e-01    1.3720e+00
 1.0800e-01    1.3297e+02   -8.1619e-01    1.3706e+00
 1.0900e-01    1.3306e+02   -8.1486e-01    1.3697e+00
 1.1000e-01    1.3314e+02   -8.1358e-01    1.3686e+00
 1.1100e-01    1.3322e+02   -8.1235e-01    1.3675e+00
 1.1200e-01    1.3330e+02   -8.1118e-01    1.3663e+00
 1.1300e-01    1.3338e+02   -8.1004e-01    1.3654e+00
 1.1400e-01    1.3346e+02   -8.0892e-01    1.3644e+00
 1.1500e-01    1.3354e+02   -8.0783e-01    1.3632e+00
 1.1600e-01    1.3361e+02   -8.0678e-01    1.3623e+00
 1.1700e-01    1.3368e+02   -8.0574e-01    1.3614e+00
 1.1800e-01    1.3376e+02   -8.0472e-01    1.3604e+00
 1.1900e-01    1.3383e+02   -8.0369e-01    1.3593e+00
 1.2000e-01    1.3391e+02   -8.0264e-01    1.3582e+00
 1.2100e-01    1.3398e+02   -8.0153e-01    1.3573e+00
 1.2200e-01    1.3406e+02   -8.0038e-01    1.3563e+00
 1.2300e-01    1.3414e+02   -7.9919e-01    1.3552e+00
 1.2400e-01    1.3422e+02   -7.9791e-01    1.3542e+00
 1.2500e-01    1.3430e+02   -7.9655e-01    1.3532e+00
 1.2600e-01    1.3439e+02   -7.9513e-01    1.3517e+00
 1.2700e-01    1.3447e+02   -7.9367e-01    1.3506e+00
 1.2800e-01    1.3456e+02   -7.9215e-01    1.3496e+00
 1.2900e-01    1.3465e+02   -7.9057e-01    1.3483e+00
 1.3000e-01    1.3475e+02   -7.8894e-01    1.3470e+00
 1.3100e-01    1.3484e+02   -7.8727e-01    1.3457e+00
 1.3200e-01    1.3494e+02   -7.8554e-01    1.3443e+00
 1.3300e-01    1.3504e+02   -7.8375e-01    1.3430e+00
 1.3400e-01    1.3514e+02   -7.8190e-01    1.3418e+00
 1.3500e-01    1.3525e+02   -7.8000e-01    1.3404e+00
 1.3600e-01    1.3535e+02   -7.7804e-01    1.3388e+00
 1.3700e-01    1.3546e+02   -7.7604e-01    1.3376e+00
 1.3800e-01    1.3556e+02   -7.7402e-01    1.3360e+00
 1.3900e-01    1.3567e+02   -7.7199e-01    1.3345e+00
 1.4000e-01    1.3578e+02   -7.6996e-01    1.3331e+00
 1.4100e-01    1.3588e+02   -7.6793e-01    1.3316e+00
 1.4200e-01    1.3599e+02   -7.6589e-01    1.3301e+00
 1.4300e-01    1.3610e+02   -7.6386e-01    1.3287e+00
 1.4400e-01    1.3620e+02   -7.6186e-01    1.3272e+00
 1.4500e-01    1.3630e+02   -7.5991e-01    1.3259e+00
 1.4600e-01    1.3640e+02   -7.5800e-01    1.3245e+00
 1.4700e-01    1.3650e+02   -7.5614e-01    1.3230e+00
 1.4800e-01    1.3660e+02   -7.5434e-01    1.3217e+00
 1.4900e-01    1.3669e+02   -7.5261e-01    1.3204e+00
 1.5000e-01    1.3678e+02   -7.5095e-01    1.3191e+00
 1.5100e-01    1.3687e+02   -7.4936e-01    1.3179e+00
 1.5200e-01    1.3696e+02   -7.4787e-01    1.3167e+00
 1.5300e-01    1.3704e+02   -7.4648e-01    1.3157e+00
 1.5400e-01    1.3711e+02   -7.4521e-01    1.3144e+00
 1.5500e-01    1.3719e+02   -7.4407e-01    1.3136e+00
 1.5600e-01    1.3726e+02   -7.4303e-01    1.3125e+00
 1.5700e-01    1.3732e+02   -7.4211e-01    1.3117e+00
 1.5800e-01    1.3738e+02   -7.4131e-01    1.3109e+00
 1.5900e-01    1.3744e+02   -7.4056e-01    1.3101e+00
 1.6000e-01    1.3750e+02   -7.3987e-01    1.3093e+00
 1.6100e-01    1.3756e+02   -7.3922e-01    1.3085e+00
 1.6200e-01    1.3761e+02   -7.3859e-01    1.3077e+00
 1.6300e-01    1.3767e+02   -7.3796e-01    1.3069e+00
 1.6400e-01    1.3772e+02   -7.3733e-01    1.3062e+00
 1.6500e-01    1.3777e+02   -7.3669e-01    1.3056e+00
 1.6600e-01    1.3782e+02   -7.3604e-01    1.3047e+00
 1.6700e-01    1.3788e+02   -7.3536e-01    1.3039e+00
 1.6800e-01    1.3793e+02   -7.3467e-01    1.3033e+00
 1.6900e-01    1.3798e+02   -7.3394e-01    1.3024e+00
 1.7000e-01    1.3804e+02   -7.3316e-01    1.3018e+00
 1.7100e-01    1.3809e+02   -7.3236e-01    1.3008e+00
 1.7200e-01    1.3815e+02   -7.3152e-01    1.3000e+00
 1.7300e-01    1.3821e+02   -7.3063e-01    1.2991e+00
 1.7400e-01    1.3826e+02   -7.2972e-01    1.2981e+00
 1.7500e-01    1.3832e+02   -7.2878e-01    1.2974e+00
 1.7600e-01    1.3838e+02   -7.2780e-01    1.2966e+00
 1.7700e-01    1.3844e+02   -7.2679e-01    1.2956e+00
 1.7800e-01    1.3851e+02   -7.2577e-01    1.2946e+00
 1.7900e-01    1.3857e+02   -7.2473e-01    1.2937e+00
 1.8000e-01    1.3863e+02   -7.2368e-01    1.2927e+00
 1.8100e-01    1.3870e+02   -7.2259e-01    1.2919e+00
 1.8200e-01    1.3876e+02   -7.2149e-01    1.2909e+00
