PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 9.1000e-02    1.3427e+02   -9.8902e-01    1.1221e+00
 9.2000e-02    1.3432e+02   -9.8784e-01    1.1210e+00
 9.3000e-02    1.3438e+02   -9.8671e-01    1.1200e+00
 9.4000e-02    1.3443e+02   -9.8565e-01    1.1190e+00
 9.5000e-02    1.3447e+02   -9.8464e-01    1.1181e+00
 9.6000e-02    1.3452e+02   -9.8368e-01    1.1172e+00
 9.7000e-02    1.3456e+02   -9.8279e-01    1.1164e+00
 9.8000e-02    1.3460e+02   -9.8192e-01    1.1156e+00
 9.9000e-02    1.3464e+02   -9.8110e-01    1.1149e+00
 1.0000e-01    1.3468e+02   -9.8032e-01    1.1141e+00
 1.0100e-01    1.3472e+02   -9.7959e-01    1.1135e+00
 1.0200e-01    1.3475e+02   -9.7891e-01    1.1128e+00
 1.0300e-01    1.3478e+02   -9.7826e-01    1.1122e+00
 1.0400e-01    1.3481e+02   -9.7763e-01    1.1116e+00
 1.0500e-01    1.3484e+02   -9.7704e-01    1.1111e+00
 1.0600e-01    1.3487e+02   -9.7649e-01    1.1106e+00
 1.0700e-01    1.3490e+02   -9.7596e-01    1.1101e+00
 1.0800e-01    1.3493e+02   -9.7544e-01    1.1096e+00
 1.0900e-01    1.3495e+02   -9.7493e-01    1.1091e+00
 1.1000e-01    1.3498e+02   -9.7440e-01    1.1086e+00
 1.1100e-01    1.3500e+02   -9.7386e-01    1.1081e+00
 1.1200e-01    1.3503e+02   -9.7332e-01    1.1076e+00
 1.1300e-01    1.3506e+02   -9.7276e-01    1.1071e+00
 1.1400e-01    1.3509e+02   -9.7219e-01    1.1065e+00
 1.1500e-01    1.3511e+02   -9.7160e-01    1.1060e+00
 1.1600e-01    1.3514e+02   -9.7100e-01    1.1054e+00
 1.1700e-01    1.3517e+02   -9.7039e-01    1.1048e+00
 1.1800e-01    1.3520e+02   -9.6978e-01    1.1043e+00
 1.1900e-01    1.3523e+02   -9.6917e-01    1.1037e+00
 1.2000e-01    1.3525e+02   -9.6856e-01    1.1031e+00
 1.2100e-01    1.3528e+02   -9.6797e-01    1.1026e+00
 1.2200e-01    1.3531e+02   -9.6738e-01    1.1020e+00
 1.2300e-01    1.3534e+02   -9.6681e-01    1.1015e+00
 1.2400e-01    1.3537e+02   -9.6624e-01    1.1009e+00
 1.2500e-01    1.3539e+02   -9.6567e-01    1.1004e+00
 1.2600e-01    1.3542e+02   -9.6510e-01    1.0999e+00
 1.2700e-01    1.3545e+02   -9.6450e-01    1.0993e+00
 1.2800e-01    1.3548e+02   -9.6389e-01    1.0988e+00
 1.2900e-01    1.3551e+02   -9.6326e-01    1.0982e+00
 1.3000e-01    1.3555e+02   -9.6259e-01    1.0976e+00
 1.3100e-01    1.3558e+02   -9.6189e-01    1.0969e+00
 1.3200e-01    1.3562e+02   -9.6113e-01    1.0962e+00
 1.3300e-01    1.3565e+02   -9.6034e-01    1.0955e+00
 1.3400e-01    1.3569e+02   -9.5951e-01    1.0948e+00
 1.3500e-01    1.3573e+02   -9.5867e-01    1.0940e+00
 1.3600e-01    1.3577e+02   -9.5780e-01    1.0932e+00
 1.3700e-01    1.3581e+02   -9.5692e-01    1.0924e+00
 1.3800e-01    1.3586e+02   -9.5603e-01    1.0916e+00
 1.3900e-01    1.3590e+02   -9.5514e-01    1.0908e+00
 1.4000e-01    1.3594e+02   -9.5423e-01    1.0900e+00
 1.4100e-01    1.3598e+02   -9.5331e-01    1.0891e+00
 1.4200e-01    1.3603e+02   -9.5238e-01    1.0883e+00
 1.4300e-01    1.3607e+02   -9.5145e-01    1.0874e+00
 1.4400e-01    1.3611e+02   -9.5051e-01    1.0866e+00
 1.4500e-01    1.3616e+02   -9.4958e-01    1.0857e+00
 1.4600e-01    1.3620e+02   -9.4865e-01    1.0849e+00
 1.4700e-01    1.3624e+02   -9.4772e-01    1.0841e+00
 1.4800e-01    1.3628e+02   -9.4680e-01    1.0832e+00
 1.4900e-01    1.3632e+02   -9.4590e-01    1.0824e+00
 1.5000e-01    1.3636e+02   -9.4500e-01    1.0816e+00
 1.5100e-01    1.3641e+02   -9.4411e-01    1.0808e+00
 1.5200e-01    1.3645e+02   -9.4324e-01    1.0800e+00
 1.5300e-01    1.3649e+02   -9.4239e-01    1.0792e+00
 1.5400e-01    1.3652e+02   -9.4155e-01    1.0785e+00
 1.5500e-01    1.3656e+02   -9.4074e-01    1.0777e+00
 1.5600e-01    1.3660e+02   -9.3995e-01    1.0770e+00
 1.5700e-01    1.3663e+02   -9.3919e-01    1.0763e+00
 1.5800e-01    1.3667e+02   -9.3846e-01    1.0757e+00
 1.5900e-01    1.3670e+02   -9.3776e-01    1.0750e+00
 1.6000e-01    1.3673e+02   -9.3709e-01    1.0744e+00
 1.6100e-01    1.3676e+02   -9.3645e-01    1.0738e+00
 1.6200e-01    1.3678e+02   -9.3584e-01    1.0733e+00
 1.6300e-01    1.3681e+02   -9.3528e-01    1.0727e+00
 1.6400e-01    1.3683e+02   -9.3475e-01    1.0722e+00
 1.6500e-01    1.3686e+02   -9.3425e-01    1.0718e+00
 1.6600e-01    1.3688e+02   -9.3378e-01    1.0713e+00
 1.6700e-01    1.3690e+02   -9.3334e-01    1.0709e+00
 1.6800e-01    1.3692e+02   -9.3292e-01    1.0705e+00
 1.6900e-01    1.3694e+02   -9.3252e-01    1.0702e+00
 1.7000e-01    1.3695e+02   -9.3215e-01    1.0698e+00
 1.7100e-01    1.3697e+02   -9.3181e-01    1.0695e+00
 1.7200e-01    1.3698e+02   -9.3150e-01    1.0692e+00
 1.7300e-01    1.3700e+02   -9.3124e-01    1.0689e+00
 1.7400e-01    1.3701e+02   -9.3101e-01    1.0687e+00
 1.7500e-01    1.3702e+02   -9.3081e-01    1.0685e+00
 1.7600e-01    1.3703e+02   -9.3065e-01    1.0683e+00
 1.7700e-01    1.3704e+02   -9.3052e-01    1.0681e+00
 1.7800e-01    1.3705e+02   -9.3042e-01    1.0680e+00
 1.7900e-01    1.3705e+02   -9.3034e-01    1.0679e+00
 1.8000e-01    1.3706e+02   -9.3030e-01    1.0679e+00
 1.8100e-01    1.3706e+02   -9.3027e-01    1.0678e+00
 1.8200e-01    1.3706e+02   -9.3026e-01    1.0678e+00
 1.8300e-01    1.3707e+02   -9.3027e-01    1.0677e+00
 1.8400e-01    1.3707e+02   -9.3029e-01    1.0677e+00
 1.8500e-01    1.3707e+02   -9.3030e-01    1.0677e+00
 1.8600e-01    1.3707e+02   -9.3030e-01    1.0677e+00
 1.8700e-01    1.3708e+02   -9.3028e-01    1.0676e+00
 1.8800e-01    1.3708e+02   -9.3022e-01    1.0675e+00
 1.8900e-01    1.3709e+02   -9.3014e-01    1.0674e+00
 1.9000e-01    1.3709e+02   -9.3001e-01    1.0673e+00
 1.9100e-01    1.3710e+02   -9.2985e-01    1.0671e+00
 1.9200e-01    1.3711e+02   -9.2967e-01    1.0669e+00
 1.9300e-01    1.3712e+02   -9.2949e-01    1.0667e+00
 1.9400e-01    1.3713e+02   -9.2929e-01    1.0665e+00
 1.9500e-01    1.3714e+02   -9.2909e-01    1.0663e+00
 1.9600e-01    1.3715e+02   -9.2888e-01    1.0661e+00
 1.9700e-01    1.3716e+02   -9.2865e-01    1.0659e+00
 1.9800e-01    1.3717e+02   -9.2839e-01    1.0656e+00
 1.9900e-01    1.3718e+02   -9.2809e-01    1.0653e+00
 2.0000e-01    1.3720e+02   -9.2775e-01    1.0650e+00
 2.0100e-01    1.3721e+02   -9.2738e-01    1.0646e+00
 2.0200e-01    1.3723e+02   -9.2700e-01    1.0643e+00
 2.0300e-01    1.3725e+02   -9.2661e-01    1.0639e+00
 2.0400e-01    1.3726e+02   -9.2624e-01    1.0636e+00
 2.0500e-01    1.3728e+02   -9.2586e-01    1.0632e+00
 2.0600e-01    1.3730e+02   -9.2548e-01    1.0629e+00
 2.0700e-01    1.3731e+02   -9.2510e-01    1.0625e+00
 2.0800e-01    1.3733e+02   -9.2473e-01    1.0621e+00
 2.0900e-01    1.3735e+02   -9.2436e-01    1.0618e+00
 2.1000e-01    1.3736e+02   -9.2399e-01    1.0614e+00
 2.1100e-01    1.3738e+02   -9.2363e-01    1.0611e+00
 2.1200e-01    1.3740e+02   -9.2326e-01    1.0607e+00
 2.1300e-01    1.3741e+02   -9.2290e-01    1.0604e+00
 2.1400e-01    1.3743e+02   -9.2256e-01    1.0601e+00
 2.1500e-01    1.3744e+02   -9.2224e-01    1.0598e+00
 2.1600e-01    1.3746e+02   -9.2193e-01    1.0595e+00
 2.1700e-01    1.3747e+02   -9.2165e-01    1.0592e+00
 2.1800e-01    1.3748e+02   -9.2140e-01    1.0590e+00
 2.1900e-01    1.3749e+02   -9.2118e-01    1.0587e+00
 2.2000e-01    1.3751e+02   -9.2098e-01    1.0585e+00
 2.2100e-01    1.3751e+02   -9.2080e-01    1.0583e+00
 2.2200e-01    1.3752e+02   -9.2065e-01    1.0582e+00
 2.2300e-01    1.3753e+02   -9.2053e-01    1.0581e+00
 2.2400e-01    1.3753e+02   -9.2044e-01    1.0580e+00
 2.2500e-01    1.3754e+02   -9.2038e-01    1.0579e+00
 2.2600e-01    1.3754e+02   -9.2035e-01    1.0578e+00
 2.2700e-01    1.3754e+02   -9.2035e-01    1.0578e+00
 2.2800e-01    1.3754e+02   -9.2037e-01    1.0578e+00
 2.2900e-01    1.3754e+02   -9.2041e-01    1.0578e+00
 2.3000e-01    1.3754e+02   -9.2046e-01    1.0578e+00
 2.3100e-01    1.3754e+02   -9.2053e-01    1.0578e+00
 2.3200e-01    1.3753e+02   -9.2063e-01    1.0579e+00
 2.3300e-01    1.3753e+02   -9.2074e-01    1.0579e+00
 2.3400e-01    1.3753e+02   -9.2086e-01    1.0580e+00
 2.3500e-01    1.3752e+02   -9.2099e-01    1.0581e+00
 2.3600e-01    1.3752e+02   -9.2114e-01    1.0582e+00
 2.3700e-01    1.3751e+02   -9.2130e-01    1.0583e+00
 2.3800e-01    1.3751e+02   -9.2145e-01    1.0584e+00
 2.3900e-01    1.3751e+02   -9.2160e-01    1.0585e+00
 2.4000e-01    1.3750e+02   -9.2174e-01    1.0586e+00
 2.4100e-01    1.3750e+02   -9.2187e-01    1.0587e+00
 2.4200e-01    1.3750e+02   -9.2198e-01    1.0588e+00
 2.4300e-01    1.3750e+02   -9.2205e-01    1.0588e+00
 2.4400e-01    1.3750e+02   -9.2208e-01    1.0588e+00
 2.4500e-01    1.3750e+02   -9.2207e-01    1.0588e+00
 2.4600e-01    1.3750e+02   -9.2203e-01    1.0587e+00
 2.4700e-01    1.3750e+02   -9.2195e-01    1.0586e+00
 2.4800e-01    1.3751e+02   -9.2186e-01    1.0585e+00
 2.4900e-01    1.3751e+02   -9.2178e-01    1.0584e+00
 2.5000e-01    1.3751e+02   -9.2168e-01    1.0583e+00
 2.5100e-01    1.3752e+02   -9.2157e-01    1.0582e+00
 2.5200e-01    1.3752e+02   -9.2145e-01    1.0580e+00
 2.5300e-01    1.3753e+02   -9.2132e-01    1.0579e+00
 2.5400e-01    1.3754e+02   -9.2118e-01    1.0578e+00
 2.5500e-01    1.3755e+02   -9.2103e-01    1.0576e+00
 2.5600e-01    1.3755e+02   -9.2087e-01    1.0574e+00
 2.5700e-01    1.3756e+02   -9.2070e-01    1.0573e+00
 2.5800e-01    1.3757e+02   -9.2050e-01    1.0571e+00
 2.5900e-01    1.3758e+02   -9.2028e-01    1.0569e+00
 2.6000e-01    1.3760e+02   -9.2004e-01    1.0566e+00
 2.6100e-01    1.3761e+02   -9.1976e-01    1.0563e+00
 2.6200e-01    1.3762e+02   -9.1944e-01    1.0560e+00
 2.6300e-01    1.3764e+02   -9.1909e-01    1.0557e+00
 2.6400e-01    1.3765e+02   -9.1872e-01    1.0554e+00
 2.6500e-01    1.3767e+02   -9.1833e-01    1.0550e+00
 2.6600e-01    1.3769e+02   -9.1793e-01    1.0546e+00
 2.6700e-01    1.3771e+02   -9.1750e-01    1.0542e+00
 2.6800e-01    1.3772e+02   -9.1707e-01    1.0538e+00
 2.6900e-01    1.3774e+02   -9.1665e-01    1.0534e+00
 2.7000e-01    1.3776e+02   -9.1625e-01    1.0531e+00
 2.7100e-01    1.3778e+02   -9.1587e-01    1.0527e+00
 2.7200e-01    1.3779e+02   -9.1551e-01    1.0524e+00
 2.7300e-01    1.3781e+02   -9.1517e-01    1.0521e+00
 2.7400e-01    1.3782e+02   -9.1486e-01    1.0518e+00
 2.7500e-01    1.3784e+02   -9.1458e-01    1.0515e+00
 2.7600e-01    1.3785e+02   -9.1430e-01    1.0512e+00
 2.7700e-01    1.3786e+02   -9.1403e-01    1.0510e+00
 2.7800e-01    1.3788e+02   -9.1377e-01    1.0507e+00
 2.7900e-01    1.3789e+02   -9.1350e-01    1.0505e+00
 2.8000e-01    1.3790e+02   -9.1325e-01    1.0502e+00
 2.8100e-01    1.3791e+02   -9.1301e-01    1.0500e+00
 2.8200e-01    1.3792e+02   -9.1280e-01    1.0498e+00
 2.8300e-01    1.3793e+02   -9.1260e-01    1.0496e+00
 2.8400e-01    1.3794e+02   -9.1243e-01    1.0494e+00
 2.8500e-01    1.3795e+02   -9.1227e-01    1.0493e+00
 2.8600e-01    1.3795e+02   -9.1213e-01    1.0491e+00
 2.8700e-01    1.3796e+02   -9.1200e-01    1.0490e+00
 2.8800e-01    1.3797e+02   -9.1189e-01    1.0489e+00
 2.8900e-01    1.3798e+02   -9.1180e-01    1.0488e+00
 2.9000e-01    1.3798e+02   -9.1174e-01    1.0487e+00
 2.9100e-01    1.3799e+02   -9.1168e-01    1.0486e+00
 2.9200e-01    1.3799e+02   -9.1163e-01    1.0485e+00
 2.9300e-01    1.3800e+02   -9.1158e-01    1.0485e+00
 2.9400e-01    1.3800e+02   -9.1151e-01    1.0484e+00
 2.9500e-01    1.3801e+02   -9.1142e-01    1.0483e+00
 2.9600e-01    1.3802e+02   -9.1131e-01    1.0482e+00
 2.9700e-01    1.3802e+02   -9.1118e-01    1.0480e+00
 2.9800e-01    1.3803e+02   -9.1102e-01    1.0479e+00
 2.9900e-01    1.3804e+02   -9.1085e-01    1.0477e+00
 3.0000e-01    1.3805e+02   -9.1069e-01    1.0475e+00
 3.0100e-01    1.3806e+02   -9.1052e-01    1.0474e+00
 3.0200e-01    1.3807e+02   -9.1035e-01    1.0472e+00
 3.0300e-01    1.3808e+02   -9.1015e-01    1.0470e+00
 3.0400e-01    1.3809e+02   -9.0993e-01    1.0468e+00
 3.0500e-01    1.3810e+02   -9.0969e-01    1.0466e+00
 3.0600e-01    1.3811e+02   -9.0942e-01    1.0463e+00
 3.0700e-01    1.3812e+02   -9.0913e-01    1.0460e+00
 3.0800e-01    1.3814e+02   -9.0883e-01    1.0458e+00
 3.0900e-01    1.3815e+02   -9.0854e-01    1.0455e+00
 3.1000e-01    1.3816e+02   -9.0825e-01    1.0452e+00
 3.1100e-01    1.3817e+02   -9.0797e-01    1.0449e+00
 3.1200e-01    1.3819e+02   -9.0769e-01    1.0447e+00
 3.1300e-01    1.3820e+02   -9.0742e-01    1.0444e+00
 3.1400e-01    1.3821e+02   -9.0716e-01    1.0442e+00
 3.1500e-01    1.3822e+02   -9.0690e-01    1.0439e+00
 3.1600e-01    1.3824e+02   -9.0664e-01    1.0437e+00
 3.1700e-01    1.3825e+02   -9.0638e-01    1.0434e+00
 3.1800e-01    1.3826e+02   -9.0610e-01    1.0432e+00
 3.1900e-01    1.3827e+02   -9.0583e-01    1.0429e+00
 3.2000e-01    1.3828e+02   -9.0555e-01    1.0427e+00
 3.2100e-01    1.3830e+02   -9.0527e-01    1.0424e+00
 3.2200e-01    1.3831e+02   -9.0501e-01    1.0422e+00
 3.2300e-01    1.3832e+02   -9.0477e-01    1.0419e+00
 3.2400e-01    1.3833e+02   -9.0456e-01    1.0417e+00
 3.2500e-01    1.3834e+02   -9.0437e-01    1.0415e+00
 3.2600e-01    1.3834e+02   -9.0421e-01    1.0414e+00
 3.2700e-01    1.3835e+02   -9.0407e-01    1.0412e+00
 3.2800e-01    1.3836e+02   -9.0397e-01    1.0411e+00
 3.2900e-01    1.3836e+02   -9.0390e-01    1.0410e+00
 3.3000e-01    1.3837e+02   -9.0387e-01    1.0410e+00
 3.3100e-01    1.3837e+02   -9.0386e-01    1.0409e+00
 3.3200e-01    1.3837e+02   -9.0386e-01    1.0409e+00
 3.3300e-01    1.3837e+02   -9.0388e-01    1.0409e+00
 3.3400e-01    1.3837e+02   -9.0389e-01    1.0409e+00
 3.3500e-01    1.3838e+02   -9.0390e-01    1.0409e+00
 3.3600e-01    1.3838e+02   -9.0390e-01    1.0409e+00
 3.3700e-01    1.3838e+02   -9.0390e-01    1.0408e+00
 3.3800e-01    1.3838e+02   -9.0389e-01    1.0408e+00
 3.3900e-01    1.3838e+02   -9.0387e-01    1.0408e+00
 3.4000e-01    1.3838e+02   -9.0385e-01    1.0407e+00
 3.4100e-01    1.3839e+02   -9.0382e-01    1.0407e+00
 3.4200e-01    1.3839e+02   -9.0377e-01    1.0406e+00
 3.4300e-01    1.3839e+02   -9.0371e-01    1.0406e+00
 3.4400e-01    1.3840e+02   -9.0363e-01    1.0405e+00
 3.4500e-01    1.3840e+02   -9.0353e-01    1.0404e+00
 3.4600e-01    1.3841e+02   -9.0343e-01    1.0403e+00
 3.4700e-01    1.3841e+02   -9.0331e-01    1.0401e+00
 3.4800e-01    1.3842e+02   -9.0318e-01    1.0400e+00
 3.4900e-01    1.3843e+02   -9.0304e-01    1.0399e+00
 3.5000e-01    1.3843e+02   -9.0289e-01    1.0397e+00
 3.5100e-01    1.3844e+02   -9.0275e-01    1.0396e+00
 3.5200e-01    1.3844e+02   -9.0263e-01    1.0394e+00
 3.5300e-01    1.3845e+02   -9.0252e-01    1.0393e+00
 3.5400e-01    1.3845e+02   -9.0243e-01    1.0392e+00
 3.5500e-01    1.3846e+02   -9.0236e-01    1.0391e+00
 3.5600e-01    1.3846e+02   -9.0230e-01    1.0391e+00
 3.5700e-01    1.3847e+02   -9.0224e-01    1.0390e+00
 3.5800e-01    1.3847e+02   -9.0219e-01    1.0389e+00
