PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 0.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00
 1.0000e-03    0.0000e+00   -2.5404e+00    2.3872e+00
 2.0000e-03    8.1504e+00   -2.4957e+00    2.3555e+00
 3.0000e-03    1.5925e+01   -2.4290e+00    2.3081e+00
 4.0000e-03    2.3328e+01   -2.3636e+00    2.2618e+00
 5.0000e-03    3.0364e+01   -2.2997e+00    2.2165e+00
 6.0000e-03    3.7037e+01   -2.2375e+00    2.1723e+00
 7.0000e-03    4.3353e+01   -2.1770e+00    2.1294e+00
 8.0000e-03    4.9320e+01   -2.1182e+00    2.0877e+00
 9.0000e-03    5.4945e+01   -2.0613e+00    2.0473e+00
 1.0000e-02    6.0238e+01   -2.0063e+00    2.0082e+00
 1.1000e-02    6.5209e+01   -1.9532e+00    1.9705e+00
 1.2000e-02    6.9869e+01   -1.9020e+00    1.9342e+00
 1.3000e-02    7.4230e+01   -1.8529e+00    1.8993e+00
 1.4000e-02    7.8306e+01   -1.8058e+00    1.8658e+00
 1.5000e-02    8.2108e+01   -1.7608e+00    1.8338e+00
 1.6000e-02    8.5650e+01   -1.7177e+00    1.8032e+00
 1.7000e-02    8.8947e+01   -1.6767e+00    1.7740e+00
 1.8000e-02    9.2011e+01   -1.6376e+00    1.7462e+00
 1.9000e-02    9.4856e+01   -1.6005e+00    1.7198e+00
 2.0000e-02    9.7497e+01   -1.5653e+00    1.6947e+00
 2.1000e-02    9.9945e+01   -1.5319e+00    1.6709e+00
 2.2000e-02    1.0221e+02   -1.5004e+00    1.6484e+00
 2.3000e-02    1.0432e+02   -1.4705e+00    1.6271e+00
 2.4000e-02    1.0626e+02   -1.4423e+00    1.6070e+00
 2.5000e-02    1.0807e+02   -1.4158e+00    1.5880e+00
 2.6000e-02    1.0974e+02   -1.3907e+00    1.5701e+00
 2.7000e-02    1.1129e+02   -1.3670e+00    1.5532e+00
 2.8000e-02    1.1272e+02   -1.3448e+00    1.5372e+00
 2.9000e-02    1.1405e+02   -1.3238e+00    1.5222e+00
 3.0000e-02    1.1529e+02   -1.3041e+00    1.5081e+00
 3.1000e-02    1.1644e+02   -1.2855e+00    1.4948e+00
 3.2000e-02    1.1750e+02   -1.2681e+00    1.4822e+00
 3.3000e-02    1.1849e+02   -1.2516e+00    1.4704e+00
 3.4000e-02    1.1941e+02   -1.2361e+00    1.4592e+00
 3.5000e-02    1.2027e+02   -1.2215e+00    1.4487e+00
 3.6000e-02    1.2107e+02   -1.2078e+00    1.4388e+00
 3.7000e-02    1.2182e+02   -1.1948e+00    1.4294e+00
 3.8000e-02    1.2252e+02   -1.1825e+00    1.4205e+00
 3.9000e-02    1.2318e+02   -1.1709e+00    1.4121e+00
 4.0000e-02    1.2379e+02   -1.1600e+00    1.4041e+00
 4.1000e-02    1.2437e+02   -1.1496e+00    1.3966e+00
 4.2000e-02    1.2492e+02   -1.1398e+00    1.3894e+00
 4.3000e-02    1.2543e+02   -1.1304e+00    1.3826e+00
 4.4000e-02    1.2592e+02   -1.1216e+00    1.3761e+00
 4.5000e-02    1.2638e+02   -1.1131e+00    1.3699e+00
 4.6000e-02    1.2681e+02   -1.1051e+00    1.3640e+00
 4.7000e-02    1.2722e+02   -1.0974e+00    1.3584e+00
 4.8000e-02    1.2761e+02   -1.0901e+00    1.3530e+00
 4.9000e-02    1.2799e+02   -1.0830e+00    1.3478e+00
 5.0000e-02    1.2835e+02   -1.0763e+00    1.3428e+00
 5.1000e-02    1.2869e+02   -1.0698e+00    1.3381e+00
 5.2000e-02    1.2901e+02   -1.0636e+00    1.3334e+00
 5.3000e-02    1.2933e+02   -1.0576e+00    1.3290e+00
 5.4000e-02    1.2963e+02   -1.0518e+00    1.3247e+00
 5.5000e-02    1.2992e+02   -1.0463e+00    1.3206e+00
 5.6000e-02    1.3019e+02   -1.0410e+00    1.3166e+00
 5.7000e-02    1.3045e+02   -1.0359e+00    1.3128e+00
 5.8000e-02    1.3071e+02   -1.0310e+00    1.3091e+00
 5.9000e-02    1.3095e+02   -1.0262e+00    1.3056e+00
 6.0000e-02    1.3118e+02   -1.0217e+00    1.3022e+00
 6.1000e-02    1.3140e+02   -1.0174e+00    1.2989e+00
 6.2000e-02    1.3161e+02   -1.0133e+00    1.2958e+00
 6.3000e-02    1.3182e+02   -1.0094e+00    1.2928e+00
 6.4000e-02    1.3201e+02   -1.0056e+00    1.2899e+00
 6.5000e-02    1.3219e+02   -1.0020e+00    1.2872e+00
 6.6000e-02    1.3237e+02   -9.9860e-01    1.2846e+00
 6.7000e-02    1.3254e+02   -9.9532e-01    1.2820e+00
 6.8000e-02    1.3270e+02   -9.9218e-01    1.2796e+00
 6.9000e-02    1.3285e+02   -9.8920e-01    1.2773e+00
 7.0000e-02    1.3299e+02   -9.8636e-01    1.2751e+00
 7.1000e-02    1.3313e+02   -9.8365e-01    1.2729e+00
 7.2000e-02    1.3327e+02   -9.8107e-01    1.2709e+00
 7.3000e-02    1.3340e+02   -9.7860e-01    1.2690e+00
 7.4000e-02    1.3352e+02   -9.7626e-01    1.2671e+00
 7.5000e-02    1.3363e+02   -9.7403e-01    1.2653e+00
 7.6000e-02    1.3374e+02   -9.7190e-01    1.2636e+00
 7.7000e-02    1.3385e+02   -9.6987e-01    1.2620e+00
 7.8000e-02    1.3395e+02   -9.6793e-01    1.2604e+00
 7.9000e-02    1.3405e+02   -9.6606e-01    1.2589e+00
 8.0000e-02    1.3414e+02   -9.6426e-01    1.2574e+00
 8.1000e-02    1.3423e+02   -9.6253e-01    1.2560e+00
 8.2000e-02    1.3432e+02   -9.6086e-01    1.2546e+00
 8.3000e-02    1.3441e+02   -9.5927e-01    1.2532e+00
 8.4000e-02    1.3449e+02   -9.5772e-01    1.2519e+00
 8.5000e-02    1.3457e+02   -9.5621e-01    1.2507e+00
 8.6000e-02    1.3465e+02   -9.5474e-01    1.2495e+00
 8.7000e-02    1.3473e+02   -9.5330e-01    1.2482e+00
 8.8000e-02    1.3480e+02   -9.5186e-01    1.2470e+00
 8.9000e-02    1.3488e+02   -9.5042e-01    1.2458e+00
 9.0000e-02    1.3496e+02   -9.4898e-01    1.2446e+00
 9.1000e-02    1.3504e+02   -9.4752e-01    1.2434e+00
 9.2000e-02    1.3511e+02   -9.4602e-01    1.2421e+00
 9.3000e-02    1.3519e+02   -9.4449e-01    1.2409e+00
 9.4000e-02    1.3528e+02   -9.4292e-01    1.2396e+00
 9.5000e-02    1.3536e+02   -9.4130e-01    1.2382e+00
 9.6000e-02    1.3544e+02   -9.3963e-01    1.2368e+00
 9.7000e-02    1.3553e+02   -9.3789e-01    1.2354e+00
 9.8000e-02    1.3562e+02   -9.3610e-01    1.2340e+00
 9.9000e-02    1.3571e+02   -9.3426e-01    1.2325e+00
 1.0000e-01    1.3580e+02   -9.3237e-01    1.2309e+00
 1.0100e-01    1.3590e+02   -9.3042e-01    1.2294e+00
 1.0200e-01    1.3600e+02   -9.2842e-01    1.2278e+00
 1.0300e-01    1.3610e+02   -9.2636e-01    1.2261e+00
 1.0400e-01    1.3620e+02   -9.2425e-01    1.2244e+00
 1.0500e-01    1.3630e+02   -9.2210e-01    1.2227e+00
 1.0600e-01    1.3641e+02   -9.1991e-01    1.2210e+00
 1.0700e-01    1.3651e+02   -9.1770e-01    1.2192e+00
 1.0800e-01    1.3662e+02   -9.1548e-01    1.2175e+00
 1.0900e-01    1.3672e+02   -9.1325e-01    1.2157e+00
 1.1000e-01    1.3683e+02   -9.1104e-01    1.2140e+00
 1.1100e-01    1.3694e+02   -9.0883e-01    1.2122e+00
 1.1200e-01    1.3704e+02   -9.0664e-01    1.2105e+00
 1.1300e-01    1.3715e+02   -9.0445e-01    1.2087e+00
 1.1400e-01    1.3725e+02   -9.0231e-01    1.2070e+00
 1.1500e-01    1.3735e+02   -9.0018e-01    1.2054e+00
 1.1600e-01    1.3745e+02   -8.9809e-01    1.2037e+00
 1.1700e-01    1.3754e+02   -8.9606e-01    1.2021e+00
 1.1800e-01    1.3764e+02   -8.9406e-01    1.2005e+00
 1.1900e-01    1.3773e+02   -8.9212e-01    1.1989e+00
 1.2000e-01    1.3782e+02   -8.9021e-01    1.1974e+00
 1.2100e-01    1.3791e+02   -8.8836e-01    1.1959e+00
 1.2200e-01    1.3799e+02   -8.8658e-01    1.1945e+00
 1.2300e-01    1.3807e+02   -8.8488e-01    1.1931e+00
 1.2400e-01    1.3815e+02   -8.8328e-01    1.1918e+00
 1.2500e-01    1.3822e+02   -8.8176e-01    1.1905e+00
 1.2600e-01    1.3829e+02   -8.8033e-01    1.1893e+00
 1.2700e-01    1.3835e+02   -8.7902e-01    1.1882e+00
 1.2800e-01    1.3841e+02   -8.7781e-01    1.1872e+00
 1.2900e-01    1.3847e+02   -8.7670e-01    1.1863e+00
 1.3000e-01    1.3852e+02   -8.7569e-01    1.1854e+00
 1.3100e-01    1.3857e+02   -8.7480e-01    1.1845e+00
 1.3200e-01    1.3861e+02   -8.7399e-01    1.1838e+00
 1.3300e-01    1.3865e+02   -8.7328e-01    1.1831e+00
 1.3400e-01    1.3869e+02   -8.7266e-01    1.1825e+00
 1.3500e-01    1.3872e+02   -8.7211e-01    1.1819e+00
 1.3600e-01    1.3875e+02   -8.7163e-01    1.1814e+00
 1.3700e-01    1.3878e+02   -8.7123e-01    1.1809e+00
 1.3800e-01    1.3880e+02   -8.7088e-01    1.1805e+00
 1.3900e-01    1.3883e+02   -8.7059e-01    1.1801e+00
 1.4000e-01    1.3885e+02   -8.7033e-01    1.1798e+00
 1.4100e-01    1.3887e+02   -8.7011e-01    1.1795e+00
 1.4200e-01    1.3889e+02   -8.6992e-01    1.1792e+00
 1.4300e-01    1.3891e+02   -8.6975e-01    1.1789e+00
 1.4400e-01    1.3893e+02   -8.6958e-01    1.1786e+00
 1.4500e-01    1.3895e+02   -8.6938e-01    1.1783e+00
 1.4600e-01    1.3897e+02   -8.6916e-01    1.1779e+00
 1.4700e-01    1.3899e+02   -8.6889e-01    1.1776e+00
 1.4800e-01    1.3901e+02   -8.6859e-01    1.1772e+00
 1.4900e-01    1.3903e+02   -8.6825e-01    1.1768e+00
 1.5000e-01    1.3906e+02   -8.6787e-01    1.1763e+00
 1.5100e-01    1.3908e+02   -8.6745e-01    1.1759e+00
 1.5200e-01    1.3911e+02   -8.6699e-01    1.1754e+00
 1.5300e-01    1.3914e+02   -8.6651e-01    1.1749e+00
 1.5400e-01    1.3917e+02   -8.6601e-01    1.1743e+00
