PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 9.1000e-02    1.2979e+02   -8.7115e-01    1.4006e+00
 9.2000e-02    1.2995e+02   -8.6807e-01    1.3986e+00
 9.3000e-02    1.3012e+02   -8.6500e-01    1.3966e+00
 9.4000e-02    1.3028e+02   -8.6193e-01    1.3946e+00
 9.5000e-02    1.3045e+02   -8.5885e-01    1.3925e+00
 9.6000e-02    1.3061e+02   -8.5577e-01    1.3905e+00
 9.7000e-02    1.3077e+02   -8.5269e-01    1.3885e+00
 9.8000e-02    1.3093e+02   -8.4958e-01    1.3865e+00
 9.9000e-02    1.3110e+02   -8.4645e-01    1.3844e+00
 1.0000e-01    1.3126e+02   -8.4331e-01    1.3824e+00
 1.0100e-01    1.3142e+02   -8.4018e-01    1.3803e+00
 1.0200e-01    1.3158e+02   -8.3704e-01    1.3783e+00
 1.0300e-01    1.3174e+02   -8.3391e-01    1.3763e+00
 1.0400e-01    1.3190e+02   -8.3081e-01    1.3742e+00
 1.0500e-01    1.3206e+02   -8.2776e-01    1.3722e+00
 1.0600e-01    1.3221e+02   -8.2475e-01    1.3703e+00
 1.0700e-01    1.3236e+02   -8.2180e-01    1.3683e+00
 1.0800e-01    1.3251e+02   -8.1892e-01    1.3664e+00
 1.0900e-01    1.3266e+02   -8.1609e-01    1.3645e+00
 1.1000e-01    1.3280e+02   -8.1333e-01    1.3627e+00
 1.1100e-01    1.3294e+02   -8.1066e-01    1.3609e+00
 1.1200e-01    1.3307e+02   -8.0806e-01    1.3591e+00
 1.1300e-01    1.3321e+02   -8.0556e-01    1.3574e+00
 1.1400e-01    1.3333e+02   -8.0315e-01    1.3557e+00
 1.1500e-01    1.3346e+02   -8.0082e-01    1.3541e+00
 1.1600e-01    1.3358e+02   -7.9858e-01    1.3525e+00
 1.1700e-01    1.3369e+02   -7.9645e-01    1.3510e+00
 1.1800e-01    1.3380e+02   -7.9441e-01    1.3495e+00
 1.1900e-01    1.3391e+02   -7.9248e-01    1.3480e+00
 1.2000e-01    1.3401e+02   -7.9063e-01    1.3466e+00
 1.2100e-01    1.3411e+02   -7.8888e-01    1.3453e+00
 1.2200e-01    1.3421e+02   -7.8726e-01    1.3440e+00
 1.2300e-01    1.3430e+02   -7.8573e-01    1.3428e+00
 1.2400e-01    1.3438e+02   -7.8433e-01    1.3416e+00
 1.2500e-01    1.3446e+02   -7.8303e-01    1.3405e+00
 1.2600e-01    1.3454e+02   -7.8184e-01    1.3394e+00
 1.2700e-01    1.3461e+02   -7.8075e-01    1.3384e+00
 1.2800e-01    1.3468e+02   -7.7978e-01    1.3375e+00
 1.2900e-01    1.3475e+02   -7.7890e-01    1.3366e+00
 1.3000e-01    1.3481e+02   -7.7808e-01    1.3357e+00
 1.3100e-01    1.3487e+02   -7.7734e-01    1.3349e+00
 1.3200e-01    1.3493e+02   -7.7665e-01    1.3341e+00
 1.3300e-01    1.3499e+02   -7.7599e-01    1.3333e+00
 1.3400e-01    1.3505e+02   -7.7536e-01    1.3325e+00
 1.3500e-01    1.3510e+02   -7.7473e-01    1.3317e+00
 1.3600e-01    1.3515e+02   -7.7413e-01    1.3310e+00
 1.3700e-01    1.3521e+02   -7.7353e-01    1.3302e+00
 1.3800e-01    1.3526e+02   -7.7292e-01    1.3295e+00
 1.3900e-01    1.3531e+02   -7.7232e-01    1.3287e+00
 1.4000e-01    1.3536e+02   -7.7173e-01    1.3280e+00
 1.4100e-01    1.3541e+02   -7.7113e-01    1.3273e+00
 1.4200e-01    1.3547e+02   -7.7053e-01    1.3265e+00
 1.4300e-01    1.3552e+02   -7.6990e-01    1.3257e+00
 1.4400e-01    1.3558e+02   -7.6923e-01    1.3250e+00
 1.4500e-01    1.3563e+02   -7.6852e-01    1.3242e+00
 1.4600e-01    1.3569e+02   -7.6776e-01    1.3234e+00
 1.4700e-01    1.3575e+02   -7.6694e-01    1.3225e+00
 1.4800e-01    1.3582e+02   -7.6606e-01    1.3217e+00
 1.4900e-01    1.3588e+02   -7.6512e-01    1.3208e+00
 1.5000e-01    1.3595e+02   -7.6410e-01    1.3198e+00
 1.5100e-01    1.3602e+02   -7.6299e-01    1.3188e+00
 1.5200e-01    1.3610e+02   -7.6179e-01    1.3178e+00
 1.5300e-01    1.3617e+02   -7.6050e-01    1.3167e+00
 1.5400e-01    1.3625e+02   -7.5909e-01    1.3156e+00
 1.5500e-01    1.3634e+02   -7.5760e-01    1.3144e+00
 1.5600e-01    1.3642e+02   -7.5602e-01    1.3132e+00
 1.5700e-01    1.3651e+02   -7.5438e-01    1.3119e+00
 1.5800e-01    1.3660e+02   -7.5267e-01    1.3107e+00
 1.5900e-01    1.3669e+02   -7.5091e-01    1.3094e+00
 1.6000e-01    1.3678e+02   -7.4911e-01    1.3080e+00
 1.6100e-01    1.3687e+02   -7.4727e-01    1.3067e+00
 1.6200e-01    1.3697e+02   -7.4540e-01    1.3053e+00
 1.6300e-01    1.3706e+02   -7.4353e-01    1.3040e+00
 1.6400e-01    1.3716e+02   -7.4165e-01    1.3026e+00
 1.6500e-01    1.3725e+02   -7.3978e-01    1.3012e+00
 1.6600e-01    1.3734e+02   -7.3793e-01    1.2999e+00
 1.6700e-01    1.3743e+02   -7.3613e-01    1.2986e+00
 1.6800e-01    1.3752e+02   -7.3439e-01    1.2973e+00
 1.6900e-01    1.3760e+02   -7.3273e-01    1.2960e+00
 1.7000e-01    1.3768e+02   -7.3115e-01    1.2948e+00
 1.7100e-01    1.3776e+02   -7.2966e-01    1.2937e+00
 1.7200e-01    1.3784e+02   -7.2826e-01    1.2925e+00
 1.7300e-01    1.3791e+02   -7.2696e-01    1.2915e+00
 1.7400e-01    1.3798e+02   -7.2579e-01    1.2905e+00
 1.7500e-01    1.3804e+02   -7.2476e-01    1.2895e+00
 1.7600e-01    1.3810e+02   -7.2388e-01    1.2886e+00
 1.7700e-01    1.3816e+02   -7.2314e-01    1.2879e+00
 1.7800e-01    1.3821e+02   -7.2256e-01    1.2871e+00
 1.7900e-01    1.3825e+02   -7.2211e-01    1.2865e+00
 1.8000e-01    1.3829e+02   -7.2179e-01    1.2859e+00
 1.8100e-01    1.3833e+02   -7.2158e-01    1.2854e+00
 1.8200e-01    1.3837e+02   -7.2147e-01    1.2849e+00
 1.8300e-01    1.3840e+02   -7.2144e-01    1.2845e+00
 1.8400e-01    1.3843e+02   -7.2144e-01    1.2841e+00
 1.8500e-01    1.3847e+02   -7.2144e-01    1.2837e+00
 1.8600e-01    1.3850e+02   -7.2142e-01    1.2832e+00
 1.8700e-01    1.3853e+02   -7.2132e-01    1.2828e+00
 1.8800e-01    1.3857e+02   -7.2112e-01    1.2823e+00
 1.8900e-01    1.3861e+02   -7.2080e-01    1.2817e+00
 1.9000e-01    1.3865e+02   -7.2034e-01    1.2811e+00
 1.9100e-01    1.3870e+02   -7.1974e-01    1.2804e+00
 1.9200e-01    1.3875e+02   -7.1900e-01    1.2796e+00
 1.9300e-01    1.3881e+02   -7.1811e-01    1.2788e+00
 1.9400e-01    1.3887e+02   -7.1707e-01    1.2778e+00
 1.9500e-01    1.3893e+02   -7.1592e-01    1.2769e+00
 1.9600e-01    1.3900e+02   -7.1464e-01    1.2758e+00
 1.9700e-01    1.3907e+02   -7.1324e-01    1.2747e+00
 1.9800e-01    1.3915e+02   -7.1173e-01    1.2736e+00
 1.9900e-01    1.3923e+02   -7.1011e-01    1.2724e+00
 2.0000e-01    1.3932e+02   -7.0841e-01    1.2711e+00
 2.0100e-01    1.3940e+02   -7.0665e-01    1.2698e+00
 2.0200e-01    1.3949e+02   -7.0483e-01    1.2685e+00
 2.0300e-01    1.3958e+02   -7.0296e-01    1.2672e+00
 2.0400e-01    1.3967e+02   -7.0107e-01    1.2658e+00
 2.0500e-01    1.3976e+02   -6.9916e-01    1.2645e+00
 2.0600e-01    1.3985e+02   -6.9726e-01    1.2631e+00
 2.0700e-01    1.3994e+02   -6.9541e-01    1.2618e+00
 2.0800e-01    1.4002e+02   -6.9363e-01    1.2605e+00
 2.0900e-01    1.4010e+02   -6.9194e-01    1.2593e+00
 2.1000e-01    1.4018e+02   -6.9041e-01    1.2581e+00
 2.1100e-01    1.4025e+02   -6.8905e-01    1.2571e+00
 2.1200e-01    1.4031e+02   -6.8788e-01    1.2561e+00
 2.1300e-01    1.4037e+02   -6.8695e-01    1.2552e+00
 2.1400e-01    1.4042e+02   -6.8624e-01    1.2545e+00
 2.1500e-01    1.4046e+02   -6.8573e-01    1.2538e+00
 2.1600e-01    1.4050e+02   -6.8539e-01    1.2533e+00
 2.1700e-01    1.4053e+02   -6.8522e-01    1.2528e+00
 2.1800e-01    1.4056e+02   -6.8518e-01    1.2524e+00
 2.1900e-01    1.4058e+02   -6.8527e-01    1.2521e+00
 2.2000e-01    1.4060e+02   -6.8550e-01    1.2518e+00
 2.2100e-01    1.4061e+02   -6.8582e-01    1.2516e+00
 2.2200e-01    1.4062e+02   -6.8623e-01    1.2514e+00
 2.2300e-01    1.4063e+02   -6.8670e-01    1.2512e+00
 2.2400e-01    1.4064e+02   -6.8719e-01    1.2511e+00
 2.2500e-01    1.4065e+02   -6.8768e-01    1.2510e+00
 2.2600e-01    1.4066e+02   -6.8815e-01    1.2508e+00
 2.2700e-01    1.4067e+02   -6.8854e-01    1.2506e+00
 2.2800e-01    1.4069e+02   -6.8884e-01    1.2504e+00
 2.2900e-01    1.4071e+02   -6.8901e-01    1.2501e+00
 2.3000e-01    1.4073e+02   -6.8902e-01    1.2498e+00
 2.3100e-01    1.4076e+02   -6.8885e-01    1.2493e+00
 2.3200e-01    1.4080e+02   -6.8848e-01    1.2487e+00
 2.3300e-01    1.4084e+02   -6.8791e-01    1.2481e+00
 2.3400e-01    1.4089e+02   -6.8712e-01    1.2473e+00
 2.3500e-01    1.4094e+02   -6.8613e-01    1.2465e+00
 2.3600e-01    1.4100e+02   -6.8497e-01    1.2455e+00
 2.3700e-01    1.4107e+02   -6.8362e-01    1.2445e+00
 2.3800e-01    1.4114e+02   -6.8211e-01    1.2434e+00
 2.3900e-01    1.4122e+02   -6.8046e-01    1.2422e+00
 2.4000e-01    1.4130e+02   -6.7869e-01    1.2409e+00
 2.4100e-01    1.4138e+02   -6.7681e-01    1.2396e+00
 2.4200e-01    1.4146e+02   -6.7486e-01    1.2383e+00
 2.4300e-01    1.4155e+02   -6.7288e-01    1.2369e+00
 2.4400e-01    1.4164e+02   -6.7091e-01    1.2356e+00
 2.4500e-01    1.4172e+02   -6.6900e-01    1.2343e+00
 2.4600e-01    1.4180e+02   -6.6719e-01    1.2330e+00
 2.4700e-01    1.4188e+02   -6.6549e-01    1.2318e+00
 2.4800e-01    1.4195e+02   -6.6393e-01    1.2307e+00
 2.4900e-01    1.4202e+02   -6.6253e-01    1.2296e+00
 2.5000e-01    1.4208e+02   -6.6132e-01    1.2286e+00
 2.5100e-01    1.4214e+02   -6.6032e-01    1.2277e+00
 2.5200e-01    1.4218e+02   -6.5956e-01    1.2270e+00
 2.5300e-01    1.4222e+02   -6.5907e-01    1.2264e+00
 2.5400e-01    1.4225e+02   -6.5880e-01    1.2259e+00
 2.5500e-01    1.4227e+02   -6.5878e-01    1.2255e+00
 2.5600e-01    1.4228e+02   -6.5899e-01    1.2253e+00
 2.5700e-01    1.4229e+02   -6.5937e-01    1.2251e+00
 2.5800e-01    1.4229e+02   -6.5991e-01    1.2250e+00
 2.5900e-01    1.4229e+02   -6.6058e-01    1.2250e+00
 2.6000e-01    1.4229e+02   -6.6137e-01    1.2250e+00
 2.6100e-01    1.4228e+02   -6.6226e-01    1.2251e+00
 2.6200e-01    1.4227e+02   -6.6318e-01    1.2252e+00
 2.6300e-01    1.4226e+02   -6.6413e-01    1.2254e+00
 2.6400e-01    1.4225e+02   -6.6504e-01    1.2255e+00
 2.6500e-01    1.4224e+02   -6.6587e-01    1.2255e+00
 2.6600e-01    1.4224e+02   -6.6660e-01    1.2255e+00
 2.6700e-01    1.4224e+02   -6.6721e-01    1.2255e+00
 2.6800e-01    1.4225e+02   -6.6765e-01    1.2253e+00
 2.6900e-01    1.4226e+02   -6.6790e-01    1.2251e+00
 2.7000e-01    1.4228e+02   -6.6793e-01    1.2248e+00
 2.7100e-01    1.4230e+02   -6.6774e-01    1.2244e+00
 2.7200e-01    1.4233e+02   -6.6734e-01    1.2238e+00
 2.7300e-01    1.4237e+02   -6.6671e-01    1.2231e+00
 2.7400e-01    1.4242e+02   -6.6585e-01    1.2224e+00
 2.7500e-01    1.4247e+02   -6.6483e-01    1.2215e+00
 2.7600e-01    1.4253e+02   -6.6361e-01    1.2206e+00
 2.7700e-01    1.4259e+02   -6.6221e-01    1.2195e+00
 2.7800e-01    1.4266e+02   -6.6064e-01    1.2184e+00
 2.7900e-01    1.4274e+02   -6.5894e-01    1.2172e+00
 2.8000e-01    1.4281e+02   -6.5717e-01    1.2159e+00
 2.8100e-01    1.4289e+02   -6.5534e-01    1.2147e+00
 2.8200e-01    1.4297e+02   -6.5350e-01    1.2134e+00
 2.8300e-01    1.4305e+02   -6.5168e-01    1.2122e+00
 2.8400e-01    1.4312e+02   -6.4992e-01    1.2110e+00
 2.8500e-01    1.4319e+02   -6.4829e-01    1.2098e+00
 2.8600e-01    1.4326e+02   -6.4680e-01    1.2087e+00
 2.8700e-01    1.4332e+02   -6.4550e-01    1.2078e+00
 2.8800e-01    1.4337e+02   -6.4442e-01    1.2069e+00
 2.8900e-01    1.4342e+02   -6.4357e-01    1.2061e+00
 2.9000e-01    1.4345e+02   -6.4298e-01    1.2055e+00
 2.9100e-01    1.4348e+02   -6.4265e-01    1.2050e+00
 2.9200e-01    1.4350e+02   -6.4261e-01    1.2046e+00
 2.9300e-01    1.4352e+02   -6.4281e-01    1.2044e+00
 2.9400e-01    1.4352e+02   -6.4322e-01    1.2043e+00
 2.9500e-01    1.4352e+02   -6.4383e-01    1.2042e+00
 2.9600e-01    1.4352e+02   -6.4462e-01    1.2043e+00
 2.9700e-01    1.4351e+02   -6.4554e-01    1.2044e+00
 2.9800e-01    1.4349e+02   -6.4655e-01    1.2046e+00
 2.9900e-01    1.4348e+02   -6.4760e-01    1.2048e+00
 3.0000e-01    1.4347e+02   -6.4863e-01    1.2050e+00
 3.0100e-01    1.4346e+02   -6.4961e-01    1.2051e+00
 3.0200e-01    1.4345e+02   -6.5049e-01    1.2053e+00
 3.0300e-01    1.4344e+02   -6.5123e-01    1.2053e+00
 3.0400e-01    1.4345e+02   -6.5177e-01    1.2052e+00
 3.0500e-01    1.4346e+02   -6.5210e-01    1.2051e+00
 3.0600e-01    1.4347e+02   -6.5215e-01    1.2048e+00
 3.0700e-01    1.4350e+02   -6.5192e-01    1.2044e+00
 3.0800e-01    1.4353e+02   -6.5139e-01    1.2038e+00
 3.0900e-01    1.4358e+02   -6.5055e-01    1.2030e+00
 3.1000e-01    1.4363e+02   -6.4942e-01    1.2022e+00
 3.1100e-01    1.4369e+02   -6.4802e-01    1.2011e+00
 3.1200e-01    1.4376e+02   -6.4640e-01    1.2000e+00
 3.1300e-01    1.4383e+02   -6.4459e-01    1.1988e+00
 3.1400e-01    1.4390e+02   -6.4266e-01    1.1975e+00
 3.1500e-01    1.4398e+02   -6.4065e-01    1.1962e+00
 3.1600e-01    1.4406e+02   -6.3863e-01    1.1949e+00
 3.1700e-01    1.4414e+02   -6.3667e-01    1.1936e+00
 3.1800e-01    1.4421e+02   -6.3480e-01    1.1923e+00
 3.1900e-01    1.4428e+02   -6.3304e-01    1.1911e+00
 3.2000e-01    1.4435e+02   -6.3146e-01    1.1900e+00
 3.2100e-01    1.4441e+02   -6.3007e-01    1.1890e+00
 3.2200e-01    1.4446e+02   -6.2892e-01    1.1881e+00
 3.2300e-01    1.4451e+02   -6.2804e-01    1.1874e+00
 3.2400e-01    1.4455e+02   -6.2744e-01    1.1868e+00
 3.2500e-01    1.4457e+02   -6.2712e-01    1.1863e+00
 3.2600e-01    1.4459e+02   -6.2709e-01    1.1860e+00
 3.2700e-01    1.4460e+02   -6.2735e-01    1.1858e+00
 3.2800e-01    1.4461e+02   -6.2787e-01    1.1857e+00
 3.2900e-01    1.4460e+02   -6.2861e-01    1.1858e+00
 3.3000e-01    1.4459e+02   -6.2956e-01    1.1860e+00
 3.3100e-01    1.4458e+02   -6.3067e-01    1.1862e+00
 3.3200e-01    1.4457e+02   -6.3185e-01    1.1865e+00
 3.3300e-01    1.4455e+02   -6.3303e-01    1.1868e+00
 3.3400e-01    1.4454e+02   -6.3412e-01    1.1870e+00
 3.3500e-01    1.4453e+02   -6.3505e-01    1.1872e+00
 3.3600e-01    1.4453e+02   -6.3577e-01    1.1873e+00
 3.3700e-01    1.4454e+02   -6.3621e-01    1.1872e+00
 3.3800e-01    1.4455e+02   -6.3636e-01    1.1870e+00
 3.3900e-01    1.4458e+02   -6.3620e-01    1.1866e+00
 3.4000e-01    1.4461e+02   -6.3570e-01    1.1861e+00
 3.4100e-01    1.4465e+02   -6.3491e-01    1.1854e+00
 3.4200e-01    1.4471e+02   -6.3378e-01    1.1845e+00
 3.4300e-01    1.4477e+02   -6.3235e-01    1.1835e+00
 3.4400e-01    1.4484e+02   -6.3066e-01    1.1824e+00
 3.4500e-01    1.4491e+02   -6.2875e-01    1.1811e+00
 3.4600e-01    1.4499e+02   -6.2666e-01    1.1798e+00
 3.4700e-01    1.4507e+02   -6.2448e-01    1.1784e+00
 3.4800e-01    1.4515e+02   -6.2227e-01    1.1770e+00
 3.4900e-01    1.4523e+02   -6.2013e-01    1.1757e+00
 3.5000e-01    1.4530e+02   -6.1813e-01    1.1744e+00
 3.5100e-01    1.4537e+02   -6.1634e-01    1.1732e+00
 3.5200e-01    1.4544e+02   -6.1479e-01    1.1721e+00
 3.5300e-01    1.4549e+02   -6.1356e-01    1.1712e+00
 3.5400e-01    1.4553e+02   -6.1267e-01    1.1705e+00
 3.5500e-01    1.4557e+02   -6.1215e-01    1.1699e+00
 3.5600e-01    1.4559e+02   -6.1201e-01    1.1695e+00
 3.5700e-01    1.4560e+02   -6.1225e-01    1.1693e+00
 3.5800e-01    1.4560e+02   -6.1281e-01    1.1693e+00
 3.5900e-01    1.4560e+02   -6.1366e-01    1.1695e+00
 3.6000e-01    1.4559e+02   -6.1473e-01    1.1697e+00
 3.6100e-01    1.4557e+02   -6.1595e-01    1.1700e+00
 3.6200e-01    1.4556e+02   -6.1726e-01    1.1704e+00
 3.6300e-01    1.4554e+02   -6.1856e-01    1.1708e+00
 3.6400e-01    1.4552e+02   -6.1976e-01    1.1711e+00
 3.6500e-01    1.4551e+02   -6.2078e-01    1.1713e+00
 3.6600e-01    1.4551e+02   -6.2158e-01    1.1714e+00
 3.6700e-01    1.4551e+02   -6.2207e-01    1.1714e+00
 3.6800e-01    1.4553e+02   -6.2221e-01    1.1712e+00
 3.6900e-01    1.4555e+02   -6.2198e-01    1.1708e+00
 3.7000e-01    1.4559e+02   -6.2138e-01    1.1702e+00
 3.7100e-01    1.4564e+02   -6.2041e-01    1.1694e+00
 3.7200e-01    1.4569e+02   -6.1910e-01    1.1685e+00
 3.7300e-01    1.4576e+02   -6.1748e-01    1.1674e+00
 3.7400e-01    1.4583e+02   -6.1562e-01    1.1662e+00
 3.7500e-01    1.4591e+02   -6.1357e-01    1.1649e+00
 3.7600e-01    1.4598e+02   -6.1139e-01    1.1635e+00
 3.7700e-01    1.4607e+02   -6.0917e-01    1.1622e+00
 3.7800e-01    1.4614e+02   -6.0700e-01    1.1608e+00
 3.7900e-01    1.4622e+02   -6.0497e-01    1.1595e+00
 3.8000e-01    1.4629e+02   -6.0313e-01    1.1583e+00
 3.8100e-01    1.4635e+02   -6.0155e-01    1.1572e+00
 3.8200e-01    1.4640e+02   -6.0031e-01    1.1563e+00
 3.8300e-01    1.4644e+02   -5.9947e-01    1.1557e+00
 3.8400e-01    1.4646e+02   -5.9905e-01    1.1552e+00
 3.8500e-01    1.4648e+02   -5.9909e-01    1.1549e+00
 3.8600e-01    1.4648e+02   -5.9954e-01    1.1548e+00
 3.8700e-01    1.4647e+02   -6.0041e-01    1.1550e+00
 3.8800e-01    1.4645e+02   -6.0164e-01    1.1553e+00
 3.8900e-01    1.4643e+02   -6.0312e-01    1.1558e+00
 3.9000e-01    1.4640e+02   -6.0480e-01    1.1564e+00
 3.9100e-01    1.4636e+02   -6.0663e-01    1.1570e+00
 3.9200e-01    1.4633e+02   -6.0843e-01    1.1576e+00
 3.9300e-01    1.4629e+02   -6.1011e-01    1.1582e+00
 3.9400e-01    1.4627e+02   -6.1158e-01    1.1586e+00
 3.9500e-01    1.4625e+02   -6.1277e-01    1.1590e+00
 3.9600e-01    1.4624e+02   -6.1360e-01    1.1591e+00
 3.9700e-01    1.4625e+02   -6.1403e-01    1.1590e+00
 3.9800e-01    1.4627e+02   -6.1399e-01    1.1588e+00
 3.9900e-01    1.4630e+02   -6.1349e-01    1.1582e+00
 4.0000e-01    1.4634e+02   -6.1251e-01    1.1575e+00
 4.0100e-01    1.4640e+02   -6.1111e-01    1.1565e+00
 4.0200e-01    1.4647e+02   -6.0930e-01    1.1553e+00
 4.0300e-01    1.4654e+02   -6.0714e-01    1.1540e+00
 4.0400e-01    1.4663e+02   -6.0471e-01    1.1525e+00
 4.0500e-01    1.4672e+02   -6.0208e-01    1.1509e+00
