PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 0.0000e+00    1.9224e+00   -1.3818e+00    1.9153e+00
 1.0000e-03    3.7672e+00   -1.3574e+00    1.9134e+00
 2.0000e-03    5.5383e+00   -1.3336e+00    1.9104e+00
 3.0000e-03    7.2387e+00   -1.3106e+00    1.9077e+00
 4.0000e-03    8.8717e+00   -1.2883e+00    1.9058e+00
 5.0000e-03    1.0440e+01   -1.2666e+00    1.9034e+00
 6.0000e-03    1.1948e+01   -1.2456e+00    1.9009e+00
 7.0000e-03    1.3398e+01   -1.2252e+00    1.8993e+00
 8.0000e-03    1.4792e+01   -1.2054e+00    1.8966e+00
 9.0000e-03    1.6134e+01   -1.1862e+00    1.8943e+00
 1.0000e-02    1.7427e+01   -1.1676e+00    1.8930e+00
 1.1000e-02    1.8673e+01   -1.1495e+00    1.8909e+00
 1.2000e-02    1.9874e+01   -1.1320e+00    1.8881e+00
 1.3000e-02    2.1033e+01   -1.1150e+00    1.8867e+00
 1.4000e-02    2.2153e+01   -1.0985e+00    1.8849e+00
 1.5000e-02    2.3235e+01   -1.0825e+00    1.8831e+00
 1.6000e-02    2.4281e+01   -1.0669e+00    1.8812e+00
 1.7000e-02    2.5293e+01   -1.0518e+00    1.8794e+00
 1.8000e-02    2.6273e+01   -1.0371e+00    1.8777e+00
 1.9000e-02    2.7224e+01   -1.0228e+00    1.8760e+00
 2.0000e-02    2.8145e+01   -1.0089e+00    1.8747e+00
 2.1000e-02    2.9039e+01   -9.9536e-01    1.8727e+00
 2.2000e-02    2.9907e+01   -9.8217e-01    1.8711e+00
 2.3000e-02    3.0751e+01   -9.6933e-01    1.8696e+00
 2.4000e-02    3.1571e+01   -9.5684e-01    1.8676e+00
 2.5000e-02    3.2369e+01   -9.4468e-01    1.8661e+00
 2.6000e-02    3.3146e+01   -9.3282e-01    1.8650e+00
 2.7000e-02    3.3902e+01   -9.2126e-01    1.8637e+00
 2.8000e-02    3.4639e+01   -9.1000e-01    1.8617e+00
 2.9000e-02    3.5356e+01   -8.9904e-01    1.8601e+00
 3.0000e-02    3.6056e+01   -8.8836e-01    1.8590e+00
 3.1000e-02    3.6738e+01   -8.7793e-01    1.8571e+00
 3.2000e-02    3.7404e+01   -8.6778e-01    1.8556e+00
 3.3000e-02    3.8054e+01   -8.5787e-01    1.8546e+00
 3.4000e-02    3.8689e+01   -8.4819e-01    1.8538e+00
 3.5000e-02    3.9309e+01   -8.3874e-01    1.8515e+00
 3.6000e-02    3.9916e+01   -8.2951e-01    1.8502e+00
 3.7000e-02    4.0509e+01   -8.2049e-01    1.8494e+00
 3.8000e-02    4.1091e+01   -8.1172e-01    1.8478e+00
 3.9000e-02    4.1660e+01   -8.0312e-01    1.8461e+00
 4.0000e-02    4.2217e+01   -7.9472e-01    1.8450e+00
 4.1000e-02    4.2763e+01   -7.8651e-01    1.8435e+00
 4.2000e-02    4.3299e+01   -7.7849e-01    1.8428e+00
 4.3000e-02    4.3824e+01   -7.7067e-01    1.8412e+00
 4.4000e-02    4.4339e+01   -7.6302e-01    1.8398e+00
 4.5000e-02    4.4844e+01   -7.5555e-01    1.8389e+00
 4.6000e-02    4.5341e+01   -7.4825e-01    1.8375e+00
 4.7000e-02    4.5828e+01   -7.4108e-01    1.8368e+00
 4.8000e-02    4.6308e+01   -7.3408e-01    1.8346e+00
 4.9000e-02    4.6779e+01   -7.2721e-01    1.8342e+00
 5.0000e-02    4.7243e+01   -7.2051e-01    1.8326e+00
 5.1000e-02    4.7700e+01   -7.1395e-01    1.8314e+00
 5.2000e-02    4.8151e+01   -7.0751e-01    1.8304e+00
 5.3000e-02    4.8595e+01   -7.0118e-01    1.8294e+00
 5.4000e-02    4.9032e+01   -6.9496e-01    1.8281e+00
 5.5000e-02    4.9464e+01   -6.8885e-01    1.8264e+00
 5.6000e-02    4.9890e+01   -6.8286e-01    1.8257e+00
 5.7000e-02    5.0310e+01   -6.7698e-01    1.8247e+00
 5.8000e-02    5.0726e+01   -6.7119e-01    1.8234e+00
 5.9000e-02    5.1136e+01   -6.6548e-01    1.8220e+00
 6.0000e-02    5.1541e+01   -6.5988e-01    1.8216e+00
 6.1000e-02    5.1942e+01   -6.5433e-01    1.8202e+00
 6.2000e-02    5.2337e+01   -6.4886e-01    1.8181e+00
 6.3000e-02    5.2729e+01   -6.4349e-01    1.8177e+00
 6.4000e-02    5.3115e+01   -6.3819e-01    1.8167e+00
 6.5000e-02    5.3498e+01   -6.3297e-01    1.8158e+00
 6.6000e-02    5.3876e+01   -6.2783e-01    1.8139e+00
 6.7000e-02    5.4250e+01   -6.2273e-01    1.8132e+00
 6.8000e-02    5.4620e+01   -6.1773e-01    1.8120e+00
 6.9000e-02    5.4987e+01   -6.1282e-01    1.8111e+00
 7.0000e-02    5.5349e+01   -6.0797e-01    1.8097e+00
 7.1000e-02    5.5708e+01   -6.0321e-01    1.8086e+00
 7.2000e-02    5.6063e+01   -5.9854e-01    1.8077e+00
 7.3000e-02    5.6414e+01   -5.9392e-01    1.8067e+00
 7.4000e-02    5.6762e+01   -5.8937e-01    1.8051e+00
 7.5000e-02    5.7106e+01   -5.8492e-01    1.8048e+00
 7.6000e-02    5.7446e+01   -5.8053e-01    1.8025e+00
 7.7000e-02    5.7783e+01   -5.7621e-01    1.8026e+00
 7.8000e-02    5.8117e+01   -5.7196e-01    1.8011e+00
 7.9000e-02    5.8447e+01   -5.6773e-01    1.7998e+00
 8.0000e-02    5.8774e+01   -5.6357e-01    1.7989e+00
 8.1000e-02    5.9099e+01   -5.5944e-01    1.7974e+00
 8.2000e-02    5.9421e+01   -5.5538e-01    1.7966e+00
 8.3000e-02    5.9740e+01   -5.5136e-01    1.7959e+00
 8.4000e-02    6.0057e+01   -5.4741e-01    1.7948e+00
 8.5000e-02    6.0371e+01   -5.4353e-01    1.7934e+00
 8.6000e-02    6.0682e+01   -5.3971e-01    1.7924e+00
 8.7000e-02    6.0991e+01   -5.3596e-01    1.7916e+00
 8.8000e-02    6.1297e+01   -5.3224e-01    1.7901e+00
 8.9000e-02    6.1601e+01   -5.2857e-01    1.7892e+00
 9.0000e-02    6.1902e+01   -5.2496e-01    1.7882e+00
 9.1000e-02    6.2201e+01   -5.2141e-01    1.7868e+00
 9.2000e-02    6.2498e+01   -5.1792e-01    1.7860e+00
 9.3000e-02    6.2792e+01   -5.1451e-01    1.7848e+00
 9.4000e-02    6.3083e+01   -5.1115e-01    1.7840e+00
 9.5000e-02    6.3372e+01   -5.0781e-01    1.7827e+00
 9.6000e-02    6.3658e+01   -5.0451e-01    1.7817e+00
 9.7000e-02    6.3943e+01   -5.0127e-01    1.7806e+00
 9.8000e-02    6.4225e+01   -4.9808e-01    1.7799e+00
 9.9000e-02    6.4505e+01   -4.9491e-01    1.7785e+00
 1.0000e-01    6.4783e+01   -4.9180e-01    1.7775e+00
 1.0100e-01    6.5059e+01   -4.8874e-01    1.7764e+00
 1.0200e-01    6.5333e+01   -4.8575e-01    1.7755e+00
 1.0300e-01    6.5604e+01   -4.8280e-01    1.7746e+00
 1.0400e-01    6.5873e+01   -4.7990e-01    1.7733e+00
 1.0500e-01    6.6141e+01   -4.7704e-01    1.7724e+00
 1.0600e-01    6.6406e+01   -4.7420e-01    1.7712e+00
 1.0700e-01    6.6668e+01   -4.7141e-01    1.7702e+00
 1.0800e-01    6.6929e+01   -4.6865e-01    1.7690e+00
 1.0900e-01    6.7188e+01   -4.6594e-01    1.7682e+00
 1.1000e-01    6.7445e+01   -4.6327e-01    1.7670e+00
 1.1100e-01    6.7700e+01   -4.6062e-01    1.7658e+00
 1.1200e-01    6.7953e+01   -4.5804e-01    1.7651e+00
 1.1300e-01    6.8205e+01   -4.5548e-01    1.7639e+00
 1.1400e-01    6.8455e+01   -4.5298e-01    1.7631e+00
 1.1500e-01    6.8704e+01   -4.5050e-01    1.7621e+00
 1.1600e-01    6.8952e+01   -4.4807e-01    1.7610e+00
 1.1700e-01    6.9198e+01   -4.4563e-01    1.7595e+00
 1.1800e-01    6.9444e+01   -4.4317e-01    1.7589e+00
 1.1900e-01    6.9689e+01   -4.4074e-01    1.7575e+00
 1.2000e-01    6.9931e+01   -4.3838e-01    1.7566e+00
 1.2100e-01    7.0173e+01   -4.3596e-01    1.7558e+00
 1.2200e-01    7.0414e+01   -4.3356e-01    1.7549e+00
 1.2300e-01    7.0653e+01   -4.3118e-01    1.7531e+00
 1.2400e-01    7.0891e+01   -4.2883e-01    1.7525e+00
 1.2500e-01    7.1128e+01   -4.2644e-01    1.7516e+00
 1.2600e-01    7.1364e+01   -4.2409e-01    1.7503e+00
 1.2700e-01    7.1599e+01   -4.2174e-01    1.7494e+00
 1.2800e-01    7.1834e+01   -4.1936e-01    1.7485e+00
 1.2900e-01    7.2067e+01   -4.1701e-01    1.7472e+00
 1.3000e-01    7.2300e+01   -4.1470e-01    1.7463e+00
 1.3100e-01    7.2532e+01   -4.1238e-01    1.7452e+00
 1.3200e-01    7.2762e+01   -4.1011e-01    1.7441e+00
 1.3300e-01    7.2992e+01   -4.0783e-01    1.7430e+00
 1.3400e-01    7.3220e+01   -4.0560e-01    1.7418e+00
 1.3500e-01    7.3446e+01   -4.0342e-01    1.7411e+00
 1.3600e-01    7.3671e+01   -4.0127e-01    1.7399e+00
 1.3700e-01    7.3894e+01   -3.9920e-01    1.7388e+00
 1.3800e-01    7.4115e+01   -3.9718e-01    1.7379e+00
 1.3900e-01    7.4333e+01   -3.9524e-01    1.7366e+00
 1.4000e-01    7.4550e+01   -3.9335e-01    1.7357e+00
 1.4100e-01    7.4764e+01   -3.9157e-01    1.7348e+00
 1.4200e-01    7.4977e+01   -3.8975e-01    1.7335e+00
 1.4300e-01    7.5188e+01   -3.8808e-01    1.7329e+00
 1.4400e-01    7.5398e+01   -3.8655e-01    1.7315e+00
 1.4500e-01    7.5606e+01   -3.8504e-01    1.7306e+00
 1.4600e-01    7.5813e+01   -3.8358e-01    1.7297e+00
 1.4700e-01    7.6018e+01   -3.8222e-01    1.7286e+00
 1.4800e-01    7.6222e+01   -3.8087e-01    1.7276e+00
 1.4900e-01    7.6425e+01   -3.7951e-01    1.7262e+00
 1.5000e-01    7.6627e+01   -3.7818e-01    1.7256e+00
 1.5100e-01    7.6829e+01   -3.7678e-01    1.7248e+00
 1.5200e-01    7.7031e+01   -3.7536e-01    1.7232e+00
 1.5300e-01    7.7232e+01   -3.7386e-01    1.7224e+00
 1.5400e-01    7.7434e+01   -3.7244e-01    1.7215e+00
 1.5500e-01    7.7636e+01   -3.7088e-01    1.7202e+00
 1.5600e-01    7.7839e+01   -3.6917e-01    1.7196e+00
 1.5700e-01    7.8042e+01   -3.6745e-01    1.7183e+00
 1.5800e-01    7.8245e+01   -3.6569e-01    1.7173e+00
 1.5900e-01    7.8448e+01   -3.6392e-01    1.7164e+00
 1.6000e-01    7.8651e+01   -3.6210e-01    1.7153e+00
 1.6100e-01    7.8854e+01   -3.6025e-01    1.7138e+00
 1.6200e-01    7.9056e+01   -3.5840e-01    1.7133e+00
 1.6300e-01    7.9256e+01   -3.5665e-01    1.7122e+00
 1.6400e-01    7.9456e+01   -3.5489e-01    1.7108e+00
 1.6500e-01    7.9654e+01   -3.5311e-01    1.7100e+00
 1.6600e-01    7.9850e+01   -3.5139e-01    1.7087e+00
 1.6700e-01    8.0046e+01   -3.4974e-01    1.7079e+00
 1.6800e-01    8.0240e+01   -3.4811e-01    1.7068e+00
 1.6900e-01    8.0432e+01   -3.4659e-01    1.7057e+00
 1.7000e-01    8.0622e+01   -3.4517e-01    1.7048e+00
 1.7100e-01    8.0810e+01   -3.4385e-01    1.7037e+00
 1.7200e-01    8.0996e+01   -3.4251e-01    1.7026e+00
 1.7300e-01    8.1180e+01   -3.4138e-01    1.7013e+00
 1.7400e-01    8.1364e+01   -3.4021e-01    1.7007e+00
 1.7500e-01    8.1546e+01   -3.3896e-01    1.6996e+00
 1.7600e-01    8.1729e+01   -3.3769e-01    1.6982e+00
 1.7700e-01    8.1910e+01   -3.3653e-01    1.6974e+00
 1.7800e-01    8.2092e+01   -3.3529e-01    1.6964e+00
 1.7900e-01    8.2274e+01   -3.3392e-01    1.6952e+00
 1.8000e-01    8.2455e+01   -3.3251e-01    1.6941e+00
 1.8100e-01    8.2636e+01   -3.3113e-01    1.6933e+00
 1.8200e-01    8.2816e+01   -3.2966e-01    1.6923e+00
 1.8300e-01    8.2996e+01   -3.2825e-01    1.6910e+00
 1.8400e-01    8.3176e+01   -3.2685e-01    1.6902e+00
 1.8500e-01    8.3355e+01   -3.2542e-01    1.6888e+00
 1.8600e-01    8.3533e+01   -3.2403e-01    1.6878e+00
 1.8700e-01    8.3711e+01   -3.2263e-01    1.6870e+00
 1.8800e-01    8.3888e+01   -3.2125e-01    1.6857e+00
 1.8900e-01    8.4063e+01   -3.1997e-01    1.6846e+00
 1.9000e-01    8.4237e+01   -3.1871e-01    1.6836e+00
 1.9100e-01    8.4410e+01   -3.1752e-01    1.6825e+00
 1.9200e-01    8.4582e+01   -3.1646e-01    1.6814e+00
 1.9300e-01    8.4753e+01   -3.1548e-01    1.6808e+00
 1.9400e-01    8.4923e+01   -3.1446e-01    1.6794e+00
 1.9500e-01    8.5093e+01   -3.1346e-01    1.6784e+00
 1.9600e-01    8.5263e+01   -3.1249e-01    1.6775e+00
 1.9700e-01    8.5433e+01   -3.1139e-01    1.6763e+00
 1.9800e-01    8.5603e+01   -3.1017e-01    1.6753e+00
 1.9900e-01    8.5773e+01   -3.0887e-01    1.6742e+00
 2.0000e-01    8.5943e+01   -3.0762e-01    1.6732e+00
 2.0100e-01    8.6112e+01   -3.0628e-01    1.6720e+00
 2.0200e-01    8.6281e+01   -3.0492e-01    1.6711e+00
 2.0300e-01    8.6448e+01   -3.0367e-01    1.6701e+00
 2.0400e-01    8.6615e+01   -3.0235e-01    1.6686e+00
 2.0500e-01    8.6780e+01   -3.0111e-01    1.6679e+00
 2.0600e-01    8.6944e+01   -3.0011e-01    1.6670e+00
 2.0700e-01    8.7107e+01   -2.9910e-01    1.6658e+00
 2.0800e-01    8.7269e+01   -2.9826e-01    1.6648e+00
 2.0900e-01    8.7430e+01   -2.9758e-01    1.6638e+00
 2.1000e-01    8.7591e+01   -2.9692e-01    1.6626e+00
 2.1100e-01    8.7752e+01   -2.9625e-01    1.6618e+00
 2.1200e-01    8.7914e+01   -2.9562e-01    1.6607e+00
 2.1300e-01    8.8078e+01   -2.9478e-01    1.6597e+00
 2.1400e-01    8.8243e+01   -2.9382e-01    1.6586e+00
 2.1500e-01    8.8409e+01   -2.9276e-01    1.6574e+00
 2.1600e-01    8.8577e+01   -2.9152e-01    1.6565e+00
 2.1700e-01    8.8745e+01   -2.9032e-01    1.6554e+00
 2.1800e-01    8.8914e+01   -2.8909e-01    1.6542e+00
 2.1900e-01    8.9082e+01   -2.8769e-01    1.6532e+00
 2.2000e-01    8.9250e+01   -2.8629e-01    1.6520e+00
 2.2100e-01    8.9416e+01   -2.8494e-01    1.6511e+00
 2.2200e-01    8.9581e+01   -2.8358e-01    1.6497e+00
 2.2300e-01    8.9744e+01   -2.8227e-01    1.6486e+00
 2.2400e-01    8.9905e+01   -2.8114e-01    1.6476e+00
 2.2500e-01    9.0063e+01   -2.8007e-01    1.6464e+00
 2.2600e-01    9.0219e+01   -2.7919e-01    1.6455e+00
 2.2700e-01    9.0371e+01   -2.7846e-01    1.6445e+00
 2.2800e-01    9.0522e+01   -2.7781e-01    1.6433e+00
 2.2900e-01    9.0672e+01   -2.7716e-01    1.6423e+00
 2.3000e-01    9.0821e+01   -2.7668e-01    1.6415e+00
 2.3100e-01    9.0970e+01   -2.7622e-01    1.6404e+00
 2.3200e-01    9.1119e+01   -2.7564e-01    1.6394e+00
 2.3300e-01    9.1268e+01   -2.7490e-01    1.6381e+00
 2.3400e-01    9.1419e+01   -2.7422e-01    1.6375e+00
 2.3500e-01    9.1571e+01   -2.7339e-01    1.6362e+00
 2.3600e-01    9.1725e+01   -2.7234e-01    1.6352e+00
 2.3700e-01    9.1880e+01   -2.7117e-01    1.6341e+00
