PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 9.1000e-02    1.3453e+02   -9.8309e-01    1.1190e+00
 9.2000e-02    1.3459e+02   -9.8165e-01    1.1177e+00
 9.3000e-02    1.3465e+02   -9.8028e-01    1.1165e+00
 9.4000e-02    1.3471e+02   -9.7897e-01    1.1153e+00
 9.5000e-02    1.3477e+02   -9.7773e-01    1.1142e+00
 9.6000e-02    1.3482e+02   -9.7655e-01    1.1131e+00
 9.7000e-02    1.3487e+02   -9.7544e-01    1.1121e+00
 9.8000e-02    1.3492e+02   -9.7441e-01    1.1112e+00
 9.9000e-02    1.3496e+02   -9.7345e-01    1.1103e+00
 1.0000e-01    1.3500e+02   -9.7255e-01    1.1095e+00
 1.0100e-01    1.3504e+02   -9.7171e-01    1.1087e+00
 1.0200e-01    1.3508e+02   -9.7092e-01    1.1079e+00
 1.0300e-01    1.3512e+02   -9.7017e-01    1.1072e+00
 1.0400e-01    1.3515e+02   -9.6946e-01    1.1066e+00
 1.0500e-01    1.3518e+02   -9.6879e-01    1.1060e+00
 1.0600e-01    1.3522e+02   -9.6815e-01    1.1055e+00
 1.0700e-01    1.3525e+02   -9.6755e-01    1.1048e+00
 1.0800e-01    1.3527e+02   -9.6698e-01    1.1043e+00
 1.0900e-01    1.3530e+02   -9.6644e-01    1.1037e+00
 1.1000e-01    1.3533e+02   -9.6593e-01    1.1033e+00
 1.1100e-01    1.3535e+02   -9.6548e-01    1.1029e+00
 1.1200e-01    1.3537e+02   -9.6506e-01    1.1025e+00
 1.1300e-01    1.3539e+02   -9.6468e-01    1.1021e+00
 1.1400e-01    1.3540e+02   -9.6434e-01    1.1017e+00
 1.1500e-01    1.3542e+02   -9.6403e-01    1.1014e+00
 1.1600e-01    1.3543e+02   -9.6376e-01    1.1012e+00
