PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 0.0000e+00    4.3565e+00   -2.0863e+00    2.0106e+00
 1.0000e-03    8.5478e+00   -2.0448e+00    1.9993e+00
 2.0000e-03    1.2577e+01   -2.0041e+00    1.9889e+00
 3.0000e-03    1.6447e+01   -1.9643e+00    1.9783e+00
 4.0000e-03    2.0162e+01   -1.9253e+00    1.9678e+00
 5.0000e-03    2.3725e+01   -1.8873e+00    1.9572e+00
 6.0000e-03    2.7140e+01   -1.8501e+00    1.9470e+00
 7.0000e-03    3.0411e+01   -1.8139e+00    1.9373e+00
 8.0000e-03    3.3543e+01   -1.7786e+00    1.9280e+00
 9.0000e-03    3.6538e+01   -1.7442e+00    1.9185e+00
 1.0000e-02    3.9403e+01   -1.7108e+00    1.9092e+00
 1.1000e-02    4.2141e+01   -1.6782e+00    1.9005e+00
 1.2000e-02    4.4756e+01   -1.6466e+00    1.8917e+00
 1.3000e-02    4.7255e+01   -1.6159e+00    1.8832e+00
 1.4000e-02    4.9641e+01   -1.5861e+00    1.8753e+00
 1.5000e-02    5.1918e+01   -1.5572e+00    1.8674e+00
 1.6000e-02    5.4093e+01   -1.5292e+00    1.8590e+00
 1.7000e-02    5.6168e+01   -1.5020e+00    1.8517e+00
 1.8000e-02    5.8149e+01   -1.4757e+00    1.8446e+00
 1.9000e-02    6.0040e+01   -1.4502e+00    1.8377e+00
 2.0000e-02    6.1844e+01   -1.4256e+00    1.8306e+00
 2.1000e-02    6.3565e+01   -1.4017e+00    1.8235e+00
 2.2000e-02    6.5209e+01   -1.3786e+00    1.8172e+00
 2.3000e-02    6.6779e+01   -1.3563e+00    1.8112e+00
 2.4000e-02    6.8278e+01   -1.3348e+00    1.8048e+00
 2.5000e-02    6.9709e+01   -1.3139e+00    1.7989e+00
 2.6000e-02    7.1077e+01   -1.2938e+00    1.7930e+00
 2.7000e-02    7.2385e+01   -1.2743e+00    1.7876e+00
 2.8000e-02    7.3635e+01   -1.2555e+00    1.7822e+00
 2.9000e-02    7.4831e+01   -1.2373e+00    1.7769e+00
 3.0000e-02    7.5975e+01   -1.2198e+00    1.7718e+00
 3.1000e-02    7.7071e+01   -1.2028e+00    1.7670e+00
 3.2000e-02    7.8120e+01   -1.1864e+00    1.7617e+00
 3.3000e-02    7.9126e+01   -1.1706e+00    1.7568e+00
 3.4000e-02    8.0090e+01   -1.1553e+00    1.7527e+00
 3.5000e-02    8.1015e+01   -1.1406e+00    1.7482e+00
 3.6000e-02    8.1903e+01   -1.1263e+00    1.7440e+00
 3.7000e-02    8.2756e+01   -1.1125e+00    1.7397e+00
 3.8000e-02    8.3576e+01   -1.0992e+00    1.7358e+00
 3.9000e-02    8.4364e+01   -1.0863e+00    1.7314e+00
 4.0000e-02    8.5123e+01   -1.0739e+00    1.7275e+00
 4.1000e-02    8.5853e+01   -1.0618e+00    1.7239e+00
 4.2000e-02    8.6557e+01   -1.0502e+00    1.7202e+00
 4.3000e-02    8.7236e+01   -1.0389e+00    1.7167e+00
 4.4000e-02    8.7890e+01   -1.0280e+00    1.7133e+00
 4.5000e-02    8.8523e+01   -1.0175e+00    1.7097e+00
 4.6000e-02    8.9135e+01   -1.0072e+00    1.7064e+00
 4.7000e-02    8.9727e+01   -9.9727e-01    1.7033e+00
 4.8000e-02    9.0300e+01   -9.8765e-01    1.7003e+00
 4.9000e-02    9.0855e+01   -9.7830e-01    1.6969e+00
 5.0000e-02    9.1394e+01   -9.6924e-01    1.6941e+00
 5.1000e-02    9.1916e+01   -9.6043e-01    1.6908e+00
 5.2000e-02    9.2422e+01   -9.5186e-01    1.6878e+00
