PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 0.0000e+00    9.4774e+00   -2.5071e+00    2.5071e+00
 1.0000e-03    1.8433e+01   -2.4301e+00    2.4301e+00
 2.0000e-03    2.6875e+01   -2.3551e+00    2.3551e+00
 3.0000e-03    3.4812e+01   -2.2825e+00    2.2825e+00
 4.0000e-03    4.2252e+01   -2.2121e+00    2.2121e+00
 5.0000e-03    4.9210e+01   -2.1442e+00    2.1442e+00
 6.0000e-03    5.5698e+01   -2.0790e+00    2.0790e+00
 7.0000e-03    6.1732e+01   -2.0164e+00    2.0164e+00
 8.0000e-03    6.7330e+01   -1.9565e+00    1.9565e+00
 9.0000e-03    7.2512e+01   -1.8993e+00    1.8993e+00
 1.0000e-02    7.7298e+01   -1.8450e+00    1.8450e+00
 1.1000e-02    8.1709e+01   -1.7934e+00    1.7934e+00
 1.2000e-02    8.5766e+01   -1.7447e+00    1.7447e+00
 1.3000e-02    8.9493e+01   -1.6986e+00    1.6986e+00
 1.4000e-02    9.2911e+01   -1.6553e+00    1.6553e+00
 1.5000e-02    9.6043e+01   -1.6145e+00    1.6145e+00
 1.6000e-02    9.8909e+01   -1.5763e+00    1.5763e+00
 1.7000e-02    1.0153e+02   -1.5405e+00    1.5405e+00
 1.8000e-02    1.0393e+02   -1.5070e+00    1.5070e+00
 1.9000e-02    1.0611e+02   -1.4757e+00    1.4757e+00
 2.0000e-02    1.0811e+02   -1.4466e+00    1.4466e+00
 2.1000e-02    1.0994e+02   -1.4194e+00    1.4194e+00
 2.2000e-02    1.1161e+02   -1.3941e+00    1.3941e+00
 2.3000e-02    1.1313e+02   -1.3706e+00    1.3706e+00
 2.4000e-02    1.1452e+02   -1.3487e+00    1.3487e+00
 2.5000e-02    1.1580e+02   -1.3284e+00    1.3284e+00
 2.6000e-02    1.1696e+02   -1.3095e+00    1.3095e+00
 2.7000e-02    1.1803e+02   -1.2920e+00    1.2920e+00
 2.8000e-02    1.1901e+02   -1.2757e+00    1.2757e+00
 2.9000e-02    1.1990e+02   -1.2606e+00    1.2606e+00
 3.0000e-02    1.2072e+02   -1.2466e+00    1.2466e+00
 3.1000e-02    1.2148e+02   -1.2335e+00    1.2335e+00
 3.2000e-02    1.2217e+02   -1.2215e+00    1.2215e+00
 3.3000e-02    1.2281e+02   -1.2103e+00    1.2103e+00
 3.4000e-02    1.2340e+02   -1.1999e+00    1.1999e+00
 3.5000e-02    1.2394e+02   -1.1902e+00    1.1902e+00
 3.6000e-02    1.2444e+02   -1.1812e+00    1.1812e+00
 3.7000e-02    1.2490e+02   -1.1729e+00    1.1729e+00
 3.8000e-02    1.2533e+02   -1.1651e+00    1.1651e+00
 3.9000e-02    1.2572e+02   -1.1578e+00    1.1578e+00
 4.0000e-02    1.2608e+02   -1.1511e+00    1.1511e+00
 4.1000e-02    1.2642e+02   -1.1448e+00    1.1448e+00
 4.2000e-02    1.2673e+02   -1.1389e+00    1.1389e+00
 4.3000e-02    1.2702e+02   -1.1335e+00    1.1335e+00
 4.4000e-02    1.2729e+02   -1.1284e+00    1.1284e+00
 4.5000e-02    1.2753e+02   -1.1237e+00    1.1237e+00
 4.6000e-02    1.2776e+02   -1.1194e+00    1.1194e+00
 4.7000e-02    1.2797e+02   -1.1153e+00    1.1153e+00
 4.8000e-02    1.2816e+02   -1.1115e+00    1.1115e+00
 4.9000e-02    1.2834e+02   -1.1080e+00    1.1080e+00
 5.0000e-02    1.2851e+02   -1.1048e+00    1.1048e+00
 5.1000e-02    1.2867e+02   -1.1018e+00    1.1018e+00
 5.2000e-02    1.2881e+02   -1.0990e+00    1.0990e+00
 5.3000e-02    1.2894e+02   -1.0964e+00    1.0964e+00
 5.4000e-02    1.2907e+02   -1.0940e+00    1.0940e+00
 5.5000e-02    1.2918e+02   -1.0918e+00    1.0918e+00
 5.6000e-02    1.2928e+02   -1.0898e+00    1.0898e+00
 5.7000e-02    1.2938e+02   -1.0880e+00    1.0880e+00
 5.8000e-02    1.2947e+02   -1.0862e+00    1.0862e+00
 5.9000e-02    1.2955e+02   -1.0847e+00    1.0847e+00
 6.0000e-02    1.2962e+02   -1.0832e+00    1.0832e+00
 6.1000e-02    1.2969e+02   -1.0818e+00    1.0818e+00
 6.2000e-02    1.2976e+02   -1.0806e+00    1.0806e+00
 6.3000e-02    1.2982e+02   -1.0795e+00    1.0795e+00
 6.4000e-02    1.2987e+02   -1.0784e+00    1.0784e+00
 6.5000e-02    1.2992e+02   -1.0774e+00    1.0774e+00
 6.6000e-02    1.2997e+02   -1.0765e+00    1.0765e+00
 6.7000e-02    1.3002e+02   -1.0756e+00    1.0756e+00
 6.8000e-02    1.3006e+02   -1.0748e+00    1.0748e+00
 6.9000e-02    1.3010e+02   -1.0740e+00    1.0740e+00
 7.0000e-02    1.3014e+02   -1.0732e+00    1.0732e+00
 7.1000e-02    1.3018e+02   -1.0725e+00    1.0725e+00
 7.2000e-02    1.3021e+02   -1.0718e+00    1.0718e+00
 7.3000e-02    1.3024e+02   -1.0712e+00    1.0712e+00
 7.4000e-02    1.3028e+02   -1.0706e+00    1.0706e+00
 7.5000e-02    1.3030e+02   -1.0701e+00    1.0701e+00
 7.6000e-02    1.3033e+02   -1.0695e+00    1.0695e+00
 7.7000e-02    1.3036e+02   -1.0690e+00    1.0690e+00
 7.8000e-02    1.3039e+02   -1.0685e+00    1.0685e+00
 7.9000e-02    1.3041e+02   -1.0680e+00    1.0680e+00
 8.0000e-02    1.3044e+02   -1.0674e+00    1.0674e+00
 8.1000e-02    1.3046e+02   -1.0669e+00    1.0669e+00
 8.2000e-02    1.3049e+02   -1.0664e+00    1.0664e+00
 8.3000e-02    1.3051e+02   -1.0659e+00    1.0659e+00
 8.4000e-02    1.3053e+02   -1.0653e+00    1.0653e+00
 8.5000e-02    1.3056e+02   -1.0648e+00    1.0648e+00
 8.6000e-02    1.3058e+02   -1.0643e+00    1.0643e+00
 8.7000e-02    1.3061e+02   -1.0638e+00    1.0638e+00
